"metr" "Region" "Disease" "burden" "cats27"
"27" "daly" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 1896227.58 TRUE
"28" "daly" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 112081.129 TRUE
"29" "daly" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 2769215.04 TRUE
"30" "daly" "High-income" "Cardiovascular and circulatory diseases" 43545778.64408 TRUE
"31" "daly" "High-income" "Chronic respiratory diseases" 13641979.5885 TRUE
"32" "daly" "High-income" "Cirrhosis of the liver" 3995635.7883 TRUE
"33" "daly" "High-income" "Congenital anomalies" 2296894.018 TRUE
"34" "daly" "High-income" "Diabetes, urinary diseases and male infertility" 12338425.328766 TRUE
"35" "daly" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 6847691.3255826 TRUE
"36" "daly" "High-income" "Digestive diseases (except cirrhosis)" 3918442.2197 TRUE
"37" "daly" "High-income" "Excluded residual categories" 2042889.6903 FALSE
"38" "daly" "High-income" "Gynecological diseases" 1217526.0856 TRUE
"39" "daly" "High-income" "Hemoglobinopathies and hemolytic anemias" 1612603.743 TRUE
"40" "daly" "High-income" "Hepatitis" 203741.72301 TRUE
"41" "daly" "High-income" "HIV/AIDS" 1213423.792 TRUE
"42" "daly" "High-income" "Injuries" 25821573.15986 FALSE
"43" "daly" "High-income" "Leprosy" 23.88100136 TRUE
"44" "daly" "High-income" "Malaria" 1411.248952 TRUE
"45" "daly" "High-income" "Maternal disorders" 129526.789675 TRUE
"46" "daly" "High-income" "Mental and behavioral disorders" 31267536.20355 TRUE
"47" "daly" "High-income" "Musculoskeletal disorders" 35571692.16788 TRUE
"48" "daly" "High-income" "Neglected tropical diseases excluding malaria" 255449.1186996 TRUE
"49" "daly" "High-income" "Neonatal disorders" 3811551.90397 TRUE
"50" "daly" "High-income" "Neoplasms" 43298283.69423 TRUE
"51" "daly" "High-income" "Neurological disorders" 12468641.0149 TRUE
"52" "daly" "High-income" "Nutritional deficiencies" 1196024.917116 TRUE
"53" "daly" "High-income" "Oral disorders" 2345971.817 TRUE
"54" "daly" "High-income" "Sense organ diseases" 4132123.676 TRUE
"55" "daly" "High-income" "Sexually transmitted diseases excluding HIV" 175744.4737 TRUE
"56" "daly" "High-income" "Skin and subcutaneous diseases" 5312451.773 TRUE
"57" "daly" "High-income" "Sudden infant death syndrome" 316814.359 TRUE
"58" "daly" "High-income" "Tuberculosis" 435872.1561 TRUE
"59" "daly" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 15012901.6301 TRUE
"60" "daly" "Latin America and Caribbean" "Chronic respiratory diseases" 5500905.38569 TRUE
"61" "daly" "Latin America and Caribbean" "Cirrhosis of the liver" 2376422.022 TRUE
"62" "daly" "Latin America and Caribbean" "Congenital anomalies" 3617507.872 TRUE
"63" "daly" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 6866403.96959 TRUE
"64" "daly" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 10635119.856545 TRUE
"65" "daly" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 1959385.39465 TRUE
"66" "daly" "Latin America and Caribbean" "Excluded residual categories" 1259416.3528 FALSE
"67" "daly" "Latin America and Caribbean" "Gynecological diseases" 670272.907 TRUE
"68" "daly" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 885653.271 TRUE
"69" "daly" "Latin America and Caribbean" "Hepatitis" 143681.4962 TRUE
"70" "daly" "Latin America and Caribbean" "HIV/AIDS" 3589802.363 TRUE
"71" "daly" "Latin America and Caribbean" "Injuries" 19194553.26196 FALSE
"72" "daly" "Latin America and Caribbean" "Leprosy" 1060.8730239 TRUE
"73" "daly" "Latin America and Caribbean" "Malaria" 109804.4774365 TRUE
"74" "daly" "Latin America and Caribbean" "Maternal disorders" 467646.12561 TRUE
"75" "daly" "Latin America and Caribbean" "Mental and behavioral disorders" 14829920.94981 TRUE
"76" "daly" "Latin America and Caribbean" "Musculoskeletal disorders" 10681796.603174 TRUE
"77" "daly" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 1609007.98820843 TRUE
"78" "daly" "Latin America and Caribbean" "Neonatal disorders" 10069066.126 TRUE
"79" "daly" "Latin America and Caribbean" "Neoplasms" 9697365.05098 TRUE
"80" "daly" "Latin America and Caribbean" "Neurological disorders" 4513854.8373 TRUE
"81" "daly" "Latin America and Caribbean" "Nutritional deficiencies" 4348378.57679833 TRUE
"82" "daly" "Latin America and Caribbean" "Oral disorders" 1248381.99 TRUE
"83" "daly" "Latin America and Caribbean" "Sense organ diseases" 2238808.436 TRUE
"84" "daly" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 498469.0568 TRUE
"85" "daly" "Latin America and Caribbean" "Skin and subcutaneous diseases" 2817093.322 TRUE
"86" "daly" "Latin America and Caribbean" "Sudden infant death syndrome" 72350.122 TRUE
"87" "daly" "Latin America and Caribbean" "Tuberculosis" 1046326.2487 TRUE
"88" "daly" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 19214032.7554 TRUE
"89" "daly" "North Africa and Middle East" "Chronic respiratory diseases" 4781864.9938 TRUE
"90" "daly" "North Africa and Middle East" "Cirrhosis of the liver" 1471644.888 TRUE
"91" "daly" "North Africa and Middle East" "Congenital anomalies" 5091067.5 TRUE
"92" "daly" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 4671199.8228 TRUE
"93" "daly" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 10785476.172 TRUE
"94" "daly" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 1084173.6688 TRUE
"95" "daly" "North Africa and Middle East" "Excluded residual categories" 1355109.755 FALSE
"96" "daly" "North Africa and Middle East" "Gynecological diseases" 657363.689 TRUE
"97" "daly" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 1066843.92 TRUE
"98" "daly" "North Africa and Middle East" "Hepatitis" 338626.564 TRUE
"99" "daly" "North Africa and Middle East" "HIV/AIDS" 285264.7037 TRUE
"100" "daly" "North Africa and Middle East" "Injuries" 12303964.8749 FALSE
"101" "daly" "North Africa and Middle East" "Leprosy" 34.2475894 TRUE
"102" "daly" "North Africa and Middle East" "Malaria" 497422.076543 TRUE
"103" "daly" "North Africa and Middle East" "Maternal disorders" 426291.40221 TRUE
"104" "daly" "North Africa and Middle East" "Mental and behavioral disorders" 12446998.4689 TRUE
"105" "daly" "North Africa and Middle East" "Musculoskeletal disorders" 9020274.53601 TRUE
"106" "daly" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 784504.39094425 TRUE
"107" "daly" "North Africa and Middle East" "Neonatal disorders" 10285578.519 TRUE
"108" "daly" "North Africa and Middle East" "Neoplasms" 6210413.1201 TRUE
"109" "daly" "North Africa and Middle East" "Neurological disorders" 2994475.5963 TRUE
"110" "daly" "North Africa and Middle East" "Nutritional deficiencies" 4214868.4023614 TRUE
"111" "daly" "North Africa and Middle East" "Oral disorders" 817136.73 TRUE
"112" "daly" "North Africa and Middle East" "Sense organ diseases" 1802577.68 TRUE
"113" "daly" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 316021.039 TRUE
"114" "daly" "North Africa and Middle East" "Skin and subcutaneous diseases" 2066247.77 TRUE
"115" "daly" "North Africa and Middle East" "Sudden infant death syndrome" 66582.5199 TRUE
"116" "daly" "North Africa and Middle East" "Tuberculosis" 876410.832 TRUE
"117" "daly" "South Asia" "Cardiovascular and circulatory diseases" 56395260.4558 TRUE
"118" "daly" "South Asia" "Chronic respiratory diseases" 38910999.427 TRUE
"119" "daly" "South Asia" "Cirrhosis of the liver" 7748644.61 TRUE
"120" "daly" "South Asia" "Congenital anomalies" 12842241.56 TRUE
"121" "daly" "South Asia" "Diabetes, urinary diseases and male infertility" 18349709.329 TRUE
"122" "daly" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 130854936.2907 TRUE
"123" "daly" "South Asia" "Digestive diseases (except cirrhosis)" 10637073.7284 TRUE
"124" "daly" "South Asia" "Excluded residual categories" 8736022.92 FALSE
"125" "daly" "South Asia" "Gynecological diseases" 2660870.596 TRUE
"126" "daly" "South Asia" "Hemoglobinopathies and hemolytic anemias" 3900744.15 TRUE
"127" "daly" "South Asia" "Hepatitis" 7916611.08 TRUE
"128" "daly" "South Asia" "HIV/AIDS" 9343741.524 TRUE
"129" "daly" "South Asia" "Injuries" 78355068.014 FALSE
"130" "daly" "South Asia" "Leprosy" 5635.277723 TRUE
"131" "daly" "South Asia" "Malaria" 5765646.81 TRUE
"132" "daly" "South Asia" "Maternal disorders" 6585487.053 TRUE
"133" "daly" "South Asia" "Mental and behavioral disorders" 35886033.725 TRUE
"134" "daly" "South Asia" "Musculoskeletal disorders" 27652034.9803 TRUE
"135" "daly" "South Asia" "Neglected tropical diseases excluding malaria" 8833911.747837 TRUE
"136" "daly" "South Asia" "Neonatal disorders" 100884520.59 TRUE
"137" "daly" "South Asia" "Neoplasms" 22858405.613 TRUE
"138" "daly" "South Asia" "Neurological disorders" 20592151.3721 TRUE
"139" "daly" "South Asia" "Nutritional deficiencies" 33699622.79313 TRUE
"140" "daly" "South Asia" "Oral disorders" 3229059.62 TRUE
"141" "daly" "South Asia" "Sense organ diseases" 8925553.12 TRUE
"142" "daly" "South Asia" "Sexually transmitted diseases excluding HIV" 3495050.32 TRUE
"143" "daly" "South Asia" "Skin and subcutaneous diseases" 8460830.28 TRUE
"144" "daly" "South Asia" "Sudden infant death syndrome" 614820.087 TRUE
"145" "daly" "South Asia" "Tuberculosis" 23662351.34 TRUE
"146" "daly" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 81711419.5221 TRUE
"147" "daly" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 31793866.11224 TRUE
"148" "daly" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 7368063.0155 TRUE
"149" "daly" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 10039357.304 TRUE
"150" "daly" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 21111320.30755 TRUE
"151" "daly" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 37348849.438667 TRUE
"152" "daly" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 6504332.20409 TRUE
"153" "daly" "Southeast Asia, East Asia and Oceania" "Excluded residual categories" 4081423.1 FALSE
"154" "daly" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" 2764233.494 TRUE
"155" "daly" "Southeast Asia, East Asia and Oceania" "Hemoglobinopathies and hemolytic anemias" 2852210.214 TRUE
"156" "daly" "Southeast Asia, East Asia and Oceania" "Hepatitis" 1938601.337 TRUE
"157" "daly" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" 5529374.276 TRUE
"158" "daly" "Southeast Asia, East Asia and Oceania" "Injuries" 64461819.33587 FALSE
"159" "daly" "Southeast Asia, East Asia and Oceania" "Leprosy" 791.041623 TRUE
"160" "daly" "Southeast Asia, East Asia and Oceania" "Malaria" 3550926.41774 TRUE
"161" "daly" "Southeast Asia, East Asia and Oceania" "Maternal disorders" 2325652.32232 TRUE
"162" "daly" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" 45003890.75685 TRUE
"163" "daly" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" 42209775.433731 TRUE
"164" "daly" "Southeast Asia, East Asia and Oceania" "Neglected tropical diseases excluding malaria" 7139081.1718283 TRUE
"165" "daly" "Southeast Asia, East Asia and Oceania" "Neonatal disorders" 27954940.493 TRUE
"166" "daly" "Southeast Asia, East Asia and Oceania" "Neoplasms" 65739057.51199 TRUE
"167" "daly" "Southeast Asia, East Asia and Oceania" "Neurological disorders" 11679739.49907 TRUE
"168" "daly" "Southeast Asia, East Asia and Oceania" "Nutritional deficiencies" 9359000.78434624 TRUE
"169" "daly" "Southeast Asia, East Asia and Oceania" "Oral disorders" 4105884.8098 TRUE
"170" "daly" "Southeast Asia, East Asia and Oceania" "Sense organ diseases" 9048243.671 TRUE
"171" "daly" "Southeast Asia, East Asia and Oceania" "Sexually transmitted diseases excluding HIV" 1313316.9396 TRUE
"172" "daly" "Southeast Asia, East Asia and Oceania" "Skin and subcutaneous diseases" 9219227.794 TRUE
"173" "daly" "Southeast Asia, East Asia and Oceania" "Sudden infant death syndrome" 235197.2442 TRUE
"174" "daly" "Southeast Asia, East Asia and Oceania" "Tuberculosis" 13100468.458 TRUE
"175" "daly" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" 18363309.56983 TRUE
"176" "daly" "Sub-Saharian Africa" "Chronic respiratory diseases" 12211131.58852 TRUE
"177" "daly" "Sub-Saharian Africa" "Cirrhosis of the liver" 3411973.4956 TRUE
"178" "daly" "Sub-Saharian Africa" "Congenital anomalies" 7288013.398 TRUE
"179" "daly" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" 7434596.68814 TRUE
"180" "daly" "Sub-Saharian Africa" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 125531847.741516 TRUE
"181" "daly" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" 5930791.094096 TRUE
"182" "daly" "Sub-Saharian Africa" "Excluded residual categories" 8580463.401 FALSE
"183" "daly" "Sub-Saharian Africa" "Gynecological diseases" 1113370.0734 TRUE
"184" "daly" "Sub-Saharian Africa" "Hemoglobinopathies and hemolytic anemias" 4274718.5 TRUE
"185" "daly" "Sub-Saharian Africa" "Hepatitis" 1881523.653 TRUE
"186" "daly" "Sub-Saharian Africa" "HIV/AIDS" 73546276.63041 TRUE
"187" "daly" "Sub-Saharian Africa" "Injuries" 40447539.2146 FALSE
"188" "daly" "Sub-Saharian Africa" "Leprosy" 970.3528647 TRUE
"189" "daly" "Sub-Saharian Africa" "Malaria" 91415895.753867 TRUE
"190" "daly" "Sub-Saharian Africa" "Maternal disorders" 8477785.69603 TRUE
"191" "daly" "Sub-Saharian Africa" "Mental and behavioral disorders" 17363811.43312 TRUE
"192" "daly" "Sub-Saharian Africa" "Musculoskeletal disorders" 13350778.793412 TRUE
"193" "daly" "Sub-Saharian Africa" "Neglected tropical diseases excluding malaria" 8211482.75137655 TRUE
"194" "daly" "Sub-Saharian Africa" "Neonatal disorders" 63398508.5998 TRUE
"195" "daly" "Sub-Saharian Africa" "Neoplasms" 9557038.34615 TRUE
"196" "daly" "Sub-Saharian Africa" "Neurological disorders" 8853468.54135 TRUE
"197" "daly" "Sub-Saharian Africa" "Nutritional deficiencies" 34087918.0548396 TRUE
"198" "daly" "Sub-Saharian Africa" "Oral disorders" 1223932.799 TRUE
"199" "daly" "Sub-Saharian Africa" "Sense organ diseases" 3381445.424 TRUE
"200" "daly" "Sub-Saharian Africa" "Sexually transmitted diseases excluding HIV" 6979984.6827 TRUE
"201" "daly" "Sub-Saharian Africa" "Skin and subcutaneous diseases" 5289905.773 TRUE
"202" "daly" "Sub-Saharian Africa" "Sudden infant death syndrome" 460110.98746 TRUE
"203" "daly" "Sub-Saharian Africa" "Tuberculosis" 14514233.807 TRUE
"204" "death" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 3011141.34424 TRUE
"205" "death" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 162502.71664 TRUE
"206" "death" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 129070.71451 TRUE
"207" "death" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 28114.7585 TRUE
"208" "death" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 105287.40741 TRUE
"209" "death" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 143745.0812661 TRUE
"210" "death" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 89089.387041 TRUE
"211" "death" "Central Europe, Eastern Europe, and Central Asia" "Excluded residual categories" 6785.02403 FALSE
"212" "death" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 570.876528 TRUE
"213" "death" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 2428.39676 TRUE
"214" "death" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 2258.93429 TRUE
"215" "death" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 54485.10195 TRUE
"216" "death" "Central Europe, Eastern Europe, and Central Asia" "Injuries" 515584.038439 FALSE
"217" "death" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 0 TRUE
"218" "death" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 19.662997 TRUE
"219" "death" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 1848.02748557 TRUE
"220" "death" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 63870.520098 TRUE
"221" "death" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 7053.66191 TRUE
"222" "death" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 1724.312643 TRUE
"223" "death" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 40462.66417 TRUE
"224" "death" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 818669.16051 TRUE
"225" "death" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 41881.43437 TRUE
"226" "death" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 3740.892358 TRUE
"227" "death" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 908.71218 TRUE
"228" "death" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 1250.77517 TRUE
"229" "death" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 1304.41846 TRUE
"230" "death" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 59146.83513 TRUE
"231" "death" "High-income" "Cardiovascular and circulatory diseases" 3138411.639961 TRUE
"232" "death" "High-income" "Chronic respiratory diseases" 512602.713218 TRUE
"233" "death" "High-income" "Cirrhosis of the liver" 170017.638495 TRUE
"234" "death" "High-income" "Congenital anomalies" 37844.6296 TRUE
"235" "death" "High-income" "Diabetes, urinary diseases and male infertility" 445679.3387659 TRUE
"236" "death" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 425457.304731309 TRUE
"237" "death" "High-income" "Digestive diseases (except cirrhosis)" 208847.603389 TRUE
"238" "death" "High-income" "Excluded residual categories" 79453.45165 FALSE
"239" "death" "High-income" "Gynecological diseases" 858.3302148 TRUE
"240" "death" "High-income" "Hemoglobinopathies and hemolytic anemias" 10312.853271 TRUE
"241" "death" "High-income" "Hepatitis" 7206.182097 TRUE
"242" "death" "High-income" "HIV/AIDS" 24211.12494 TRUE
"243" "death" "High-income" "Injuries" 551893.4640018 FALSE
"244" "death" "High-income" "Leprosy" 0 TRUE
"245" "death" "High-income" "Malaria" 3.86409 TRUE
"246" "death" "High-income" "Maternal disorders" 1644.2712186817 TRUE
"247" "death" "High-income" "Mental and behavioral disorders" 64708.7108296 TRUE
"248" "death" "High-income" "Musculoskeletal disorders" 43001.672021 TRUE
"249" "death" "High-income" "Neglected tropical diseases excluding malaria" 3498.99398526 TRUE
"250" "death" "High-income" "Neonatal disorders" 36904.4768392 TRUE
"251" "death" "High-income" "Neoplasms" 2308101.570625 TRUE
"252" "death" "High-income" "Neurological disorders" 417898.62637 TRUE
"253" "death" "High-income" "Nutritional deficiencies" 24377.8552052 TRUE
"254" "death" "High-income" "Sexually transmitted diseases excluding HIV" 1068.2409626 TRUE
"255" "death" "High-income" "Skin and subcutaneous diseases" 16757.945626 TRUE
"256" "death" "High-income" "Sudden infant death syndrome" 3686.180476 TRUE
"257" "death" "High-income" "Tuberculosis" 16452.640224 TRUE
"258" "death" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 753643.933145 TRUE
"259" "death" "Latin America and Caribbean" "Chronic respiratory diseases" 141001.552683 TRUE
"260" "death" "Latin America and Caribbean" "Cirrhosis of the liver" 80618.16844 TRUE
"261" "death" "Latin America and Caribbean" "Congenital anomalies" 43049.45495 TRUE
"262" "death" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 228870.4280543 TRUE
"263" "death" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 212816.08115732 TRUE
"264" "death" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 71744.606453 TRUE
"265" "death" "Latin America and Caribbean" "Excluded residual categories" 24052.74201 FALSE
"266" "death" "Latin America and Caribbean" "Gynecological diseases" 747.122075 TRUE
"267" "death" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 4177.81186 TRUE
"268" "death" "Latin America and Caribbean" "Hepatitis" 3154.78784 TRUE
"269" "death" "Latin America and Caribbean" "HIV/AIDS" 70272.83905 TRUE
"270" "death" "Latin America and Caribbean" "Injuries" 349991.534121 FALSE
"271" "death" "Latin America and Caribbean" "Leprosy" 0 TRUE
"272" "death" "Latin America and Caribbean" "Malaria" 1779.556885 TRUE
"273" "death" "Latin America and Caribbean" "Maternal disorders" 7899.885134196 TRUE
"274" "death" "Latin America and Caribbean" "Mental and behavioral disorders" 19049.515486 TRUE
"275" "death" "Latin America and Caribbean" "Musculoskeletal disorders" 11428.867966 TRUE
"276" "death" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 12584.1296452106 TRUE
"277" "death" "Latin America and Caribbean" "Neonatal disorders" 109626.85361 TRUE
"278" "death" "Latin America and Caribbean" "Neoplasms" 395572.7527309 TRUE
"279" "death" "Latin America and Caribbean" "Neurological disorders" 34502.833602 TRUE
"280" "death" "Latin America and Caribbean" "Nutritional deficiencies" 44972.9794039 TRUE
"281" "death" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 4973.611853 TRUE
"282" "death" "Latin America and Caribbean" "Skin and subcutaneous diseases" 5831.49574 TRUE
"283" "death" "Latin America and Caribbean" "Sudden infant death syndrome" 842.194276 TRUE
"284" "death" "Latin America and Caribbean" "Tuberculosis" 22552.287941 TRUE
"285" "death" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 797116.97582 TRUE
"286" "death" "North Africa and Middle East" "Chronic respiratory diseases" 92489.20276 TRUE
"287" "death" "North Africa and Middle East" "Cirrhosis of the liver" 51760.7493 TRUE
"288" "death" "North Africa and Middle East" "Congenital anomalies" 59456.0839 TRUE
"289" "death" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 105057.976938 TRUE
"290" "death" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 166931.1511838 TRUE
"291" "death" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 32821.71470705 TRUE
"292" "death" "North Africa and Middle East" "Excluded residual categories" 23433.57711 FALSE
"293" "death" "North Africa and Middle East" "Gynecological diseases" 291.152674 TRUE
"294" "death" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 7822.32962 TRUE
"295" "death" "North Africa and Middle East" "Hepatitis" 9616.22869 TRUE
"296" "death" "North Africa and Middle East" "HIV/AIDS" 5528.718429 TRUE
"297" "death" "North Africa and Middle East" "Injuries" 188584.88097 FALSE
"298" "death" "North Africa and Middle East" "Leprosy" 0 TRUE
"299" "death" "North Africa and Middle East" "Malaria" 7709.07319 TRUE
"300" "death" "North Africa and Middle East" "Maternal disorders" 6290.5697338 TRUE
"301" "death" "North Africa and Middle East" "Mental and behavioral disorders" 8079.960035 TRUE
"302" "death" "North Africa and Middle East" "Musculoskeletal disorders" 2727.748006 TRUE
"303" "death" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 6899.74696317 TRUE
"304" "death" "North Africa and Middle East" "Neonatal disorders" 113654.66298 TRUE
"305" "death" "North Africa and Middle East" "Neoplasms" 212893.90763 TRUE
"306" "death" "North Africa and Middle East" "Neurological disorders" 24618.91756 TRUE
"307" "death" "North Africa and Middle East" "Nutritional deficiencies" 13905.81708609 TRUE
"308" "death" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 3329.591319 TRUE
"309" "death" "North Africa and Middle East" "Skin and subcutaneous diseases" 2824.33063 TRUE
"310" "death" "North Africa and Middle East" "Sudden infant death syndrome" 774.887402 TRUE
"311" "death" "North Africa and Middle East" "Tuberculosis" 12494.72723 TRUE
"312" "death" "South Asia" "Cardiovascular and circulatory diseases" 2307219.982426 TRUE
"313" "death" "South Asia" "Chronic respiratory diseases" 1143108.8337 TRUE
"314" "death" "South Asia" "Cirrhosis of the liver" 230611.9754 TRUE
"315" "death" "South Asia" "Congenital anomalies" 186612.1057 TRUE
"316" "death" "South Asia" "Diabetes, urinary diseases and male infertility" 470072.7329 TRUE
