"Region" "Disease" "SimMn_NbRCTs" "SimMed_NbRCTs" "Sim95low_NbRCTs" "Sim95up_NbRCTs" "SimMn_PrRCTs" "SimMed_PrRCTs" "Sim95low_PrRCTs" "Sim95up_PrRCTs"
"26" "Central Europe, Eastern Europe, and Central Asia" "Oral disorders" 138.4625 112 46 393.025 0.0227129549610475 0.018386020620348 0.0075632393882337 0.0641504783065075
"27" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 0.450229709035222 0 0 3.69999999999993 7.31789952196442e-05 0 0 0.000602132995399371
"28" "Central Europe, Eastern Europe, and Central Asia" "Injuries" NA NA NA NA NA NA NA NA
"29" "Central Europe, Eastern Europe, and Central Asia" "All" 6000.2223 6005 5767.975 6206 NA NA NA NA
"30" "High-income" "Tuberculosis" 97.7076690211907 95 27 187 0.00156783429458834 0.00152293927317977 0.000436799759859416 0.00301454871219251
"31" "High-income" "HIV/AIDS" 986.8925 994 767 1169.025 0.0156617362434243 0.015767150265309 0.0121793436319275 0.0186145432462887
"32" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 2437.8762 2426 1975.975 2964.05 0.0399039736915878 0.0397333659830592 0.0323337824883523 0.0486714370376879
"33" "High-income" "Malaria" 79.186155846754 74 43 147 0.00127293429792969 0.00118404619402138 0.000684880478109478 0.0023565564527396
"34" "High-income" "Neglected tropical diseases excluding malaria" 218.5784 195.5 117 447 0.00352689028426045 0.00315637477953943 0.00188113151959517 0.00723860376759728
"35" "High-income" "Maternal disorders" 1426.8677 1377 844 2290.075 0.0231288902113861 0.0223511471414661 0.0138125389207043 0.0370174858424718
"36" "High-income" "Neonatal disorders" 1096.34797398699 958 414.85 2576.15 0.017721533002377 0.015519712671137 0.0067286002779089 0.0414673914453414
"37" "High-income" "Nutritional deficiencies" 853.3049 825 423 1440.05 0.0137864966182158 0.0133323347313761 0.00686004152926226 0.0233483380997224
"38" "High-income" "Sexually transmitted diseases excluding HIV" 1106.07215232157 300 28 6639.5 0.0167206101974323 0.00482750878093375 0.000444043223272629 0.104020301870478
"39" "High-income" "Hepatitis" 636.9573 630 414.975 917 0.0103158097079288 0.010191007371337 0.00669142510427088 0.0148677748908193
"40" "High-income" "Leprosy" 46.2758270458503 39 2 140 0.000743933138116387 0.000633302320435178 3.25131385511223e-05 0.00227650555679303
"41" "High-income" "Neoplasms" 9483.7582 9503 8805.975 10070 0.140669820147983 0.140937416852884 0.131045611977561 0.148860443417845
"42" "High-income" "Cardiovascular and circulatory diseases" 7960.1968 7962 7081.925 8880.025 0.12950469345535 0.129406984047595 0.115520133069861 0.144120689091128
"43" "High-income" "Chronic respiratory diseases" 3776.5637 3779 3396 4146.025 0.0618331191748221 0.0618277616943738 0.0555256065061132 0.0684038976500069
"44" "High-income" "Cirrhosis of the liver" 705.116134840452 704 362 1049 0.0114585783085302 0.0114508225122511 0.00585029938806955 0.0170644077260148
"45" "High-income" "Digestive diseases (except cirrhosis)" 4621.4956 4537 3701 6028.1 0.0773614044776947 0.0760310687464356 0.0621371050451943 0.100363261203548
"46" "High-income" "Neurological disorders" 5035.9621 5032 4394 5712 0.0831316312372491 0.0830070405505381 0.072530872642422 0.0942984462783918
"47" "High-income" "Mental and behavioral disorders" 7349.2393 7349 6837.975 7864.05 0.121046205225412 0.121024585504476 0.112248905556997 0.129997886860847
"48" "High-income" "Diabetes, urinary diseases and male infertility" 8754.5833 8749 7908 9614.025 0.141872196391882 0.141776390654191 0.128666905006949 0.155761337308423
"49" "High-income" "Gynecological diseases" 1625.6004 1543 1141.975 2600.075 0.02670776628883 0.0253730444603037 0.018792007927918 0.0428140363474381
"50" "High-income" "Hemoglobinopathies and hemolytic anemias" 93.5851015801354 86 5 229 0.00149960757510683 0.0013795316008983 7.86321815802101e-05 0.00366046303720272
"51" "High-income" "Musculoskeletal disorders" 5234.7509 5234 4662.975 5821.025 0.08485908121297 0.0848205991937776 0.0757178562844065 0.0943634361166867
"52" "High-income" "Congenital anomalies" 308.185454126326 299 23 665.125 0.00493175370935003 0.00478050286788621 0.000375700556926529 0.0105933762049092
"53" "High-income" "Skin and subcutaneous diseases" 3266.5379 3208 2608.975 4244.025 0.0541717362850791 0.0532315969717573 0.0433281993339959 0.0701682487543021
"54" "High-income" "Sense organ diseases" 4213.5942 4209.5 3657 4788 0.0690997266108946 0.0690295783242521 0.0599183597424406 0.0786233575537553
"55" "High-income" "Oral disorders" 1752.0094 1446 689 4646.05 0.0283198475111379 0.0235483290154773 0.0113101348033392 0.0747526759539015
"56" "High-income" "Sudden infant death syndrome" 6.67228177641654 3 0 36.3999999999999 0.000107210765103983 4.81858044620055e-05 0 0.000583624203963579
"57" "High-income" "Injuries" NA NA NA NA NA NA NA NA
"58" "High-income" "All" 60599.9094 60631 58034.95 62973.075 NA NA NA NA
"59" "Latin America and Caribbean" "Tuberculosis" 28.1049445005045 29 8 42 0.00655389362025793 0.0068412361405992 0.00187468928522072 0.00986378581493659
"60" "Latin America and Caribbean" "HIV/AIDS" 91.9354 93 69 110 0.0211726913124805 0.0213464696223317 0.0160651226305068 0.0253682262619141
"61" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 220.5501 220 180 263 0.0523169209195862 0.0522705771050142 0.0426629160806376 0.0623409649085837
"62" "Latin America and Caribbean" "Malaria" 12.0521156346904 12 6 18 0.0028140358069907 0.00281954887218045 0.00142887849727851 0.00423539379507981
"63" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 76.5971 78 52 96 0.0179295253928854 0.018127572819389 0.0122864482903925 0.0224747838072531
"64" "Latin America and Caribbean" "Maternal disorders" 104.036 101 62 164 0.0244576843252038 0.0237814928184601 0.0146577248530188 0.0383717610019305
"65" "Latin America and Caribbean" "Neonatal disorders" 74.1991995997999 65 28 171.15 0.0174300644021599 0.0153667054714785 0.00648570298568564 0.0401306660982806
"66" "Latin America and Caribbean" "Nutritional deficiencies" 66.2025 65 32 109 0.0155374198113295 0.0151673857374051 0.00759013282732448 0.0257005424076495
"67" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 75.4287941209219 24 2 436.5 0.0168059568870237 0.00558399255467659 0.000461574581845173 0.100732586063297
"68" "Latin America and Caribbean" "Hepatitis" 56.1968 56 36 78 0.0132162132021337 0.0131822386679001 0.00836507000805344 0.0184162814034102
"69" "Latin America and Caribbean" "Leprosy" 4.03380731282647 4 0 11 0.000942333762795223 0.000913450559488468 0 0.00258673121279505
"70" "Latin America and Caribbean" "Neoplasms" 592.3568 594 546 634 0.1274886302917 0.127682403433476 0.118091416118714 0.135934870227655
"71" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 508.5048 508 446 574 0.119464207664837 0.119357125974947 0.104959205376169 0.134643334855395
"72" "Latin America and Caribbean" "Chronic respiratory diseases" 293.06 293 261 323 0.0695019835661555 0.0695320809410172 0.0618990439936212 0.0768862275449102
"73" "Latin America and Caribbean" "Cirrhosis of the liver" 41.4566369910973 41 19 65 0.00978228869096333 0.00970649410677143 0.00455668388920595 0.0152744609312201
"74" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 308.9183 303 245 402 0.0748980147396749 0.0736378838346214 0.059575211207395 0.0970603142422707
"75" "Latin America and Caribbean" "Neurological disorders" 272.3254 272 231 318 0.0651157070809887 0.0649225958392095 0.0552836619876536 0.0760267851208581
"76" "Latin America and Caribbean" "Mental and behavioral disorders" 302.8299 302 273 337 0.0722167243476454 0.0720980609314287 0.0648889219823411 0.0805643590167916
"77" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 704.0002 704 636 772 0.165106958682806 0.165073443693169 0.149904167501437 0.180723103384
"78" "Latin America and Caribbean" "Gynecological diseases" 118.2934 113 85 183 0.0282037396545861 0.0269765184310353 0.0201468691919009 0.043427203726331
"79" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 8.45327313769752 8 0 21 0.00196769743498259 0.00183823529411765 0 0.00487533120412644
"80" "Latin America and Caribbean" "Musculoskeletal disorders" 493.0456 494 439 546 0.115777236341446 0.115858658146739 0.103399379647278 0.127899785726787
"81" "Latin America and Caribbean" "Congenital anomalies" 12.6763485477178 12 0 30 0.00294268089139387 0.00278196364002222 0 0.00684521298041312
"82" "Latin America and Caribbean" "Skin and subcutaneous diseases" 206.9022 203 162 272 0.0497015021359317 0.0488622754491018 0.0388779008925114 0.0651825674933083
"83" "Latin America and Caribbean" "Sense organ diseases" 246.1175 246 209 285 0.0584391903153225 0.0583433293349327 0.0496119839973608 0.0677181776095062
"84" "Latin America and Caribbean" "Oral disorders" 161.0094 142 86 351.025 0.0378705331778392 0.0335500543557098 0.0204178509652577 0.0819885177785486
"85" "Latin America and Caribbean" "Sudden infant death syndrome" 0.320061255742726 0 0 3 7.47641576663821e-05 0 0 0.000686156674208144
"86" "Latin America and Caribbean" "Injuries" NA NA NA NA NA NA NA NA
"87" "Latin America and Caribbean" "All" 4132.2241 4135 3960 4288 NA NA NA NA
"88" "North Africa and Middle East" "Tuberculosis" 17.447225025227 17 4 32 0.0021744022706175 0.00216698534098152 0.000515517172823815 0.00397093290320902
"89" "North Africa and Middle East" "HIV/AIDS" 45.317 45 30 64 0.0055850100478966 0.0055289810761937 0.00375744187242147 0.00786548277472769
"90" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 261.6402 260 205 330 0.0332463083928736 0.0330081075367737 0.0260275606150169 0.041933040854131
"91" "North Africa and Middle East" "Malaria" 2.71191357407222 2 0 12 0.000338470967143165 0.000243842965130456 0 0.00150651575729514
"92" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 44.9067 42 27 77 0.00562732827647386 0.00529434009832346 0.0033957836388354 0.00972675815928048
"93" "North Africa and Middle East" "Maternal disorders" 433.5935 434 300 570.025 0.0546472947445802 0.0545869528915676 0.0379810945496496 0.0714574365271325
"94" "North Africa and Middle East" "Neonatal disorders" 210.818109054527 196 96 412 0.0265239042461681 0.0246928899367167 0.0121243967594363 0.0515236988399671
"95" "North Africa and Middle East" "Nutritional deficiencies" 119.2597 116 57 199 0.0149748478236055 0.0145449627172865 0.00720391757324914 0.0250380583542018
"96" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 152.824852466318 50 4 886 0.0179761449582053 0.00623441396508728 0.000512820816264783 0.107632980483409
"97" "North Africa and Middle East" "Hepatitis" 69.9201 68 43 107 0.00879391253276455 0.00857389703010102 0.00538036765606966 0.0133653020295095
"98" "North Africa and Middle East" "Leprosy" 5.70734184561811 5 0 19 0.000712422454172939 0.000615195326843834 0 0.0023446736949709
"99" "North Africa and Middle East" "Neoplasms" 618.9186 620 569 665 0.0708593324257164 0.0709710622710623 0.0652074247626934 0.0761883665280973
"100" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 907.6125 906 796 1027 0.114783299407478 0.114607864242604 0.100820894960086 0.129614703225145
"101" "North Africa and Middle East" "Chronic respiratory diseases" 318.2876 318 278 362 0.0405266472534723 0.0403995319620643 0.035334225125834 0.0464046719235766
"102" "North Africa and Middle East" "Cirrhosis of the liver" 98.1345403621086 98 49 147 0.0123843966824015 0.0124327095616509 0.00613567512502461 0.0185550849255463
"103" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 857.7405 848 722 1045 0.111464779481009 0.110328778992342 0.094258791647505 0.134800130357898
"104" "North Africa and Middle East" "Neurological disorders" 594.4316 593.5 512 682 0.0763107513228733 0.0761530597731694 0.0657023714671347 0.0877602065409004
"105" "North Africa and Middle East" "Mental and behavioral disorders" 988.5052 989 915.975 1061.025 0.126553214501492 0.126544770953394 0.11695786016179 0.136316746362549
"106" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 1185.0177 1185 1066 1306 0.149337158106031 0.149279095111428 0.134900486470676 0.164087528658584
"107" "North Africa and Middle East" "Gynecological diseases" 676.7881 672 565 815 0.0860738381714817 0.0855342745446984 0.0720025796659165 0.103605386451222
"108" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 22.7733634311512 21 1 53 0.00283750657563364 0.00267584097859327 0.000123708793771354 0.00655729436884936
"109" "North Africa and Middle East" "Musculoskeletal disorders" 612.8216 612 540 690 0.0771998855286273 0.0770591207680647 0.0680823822704326 0.0870508921423046
"110" "North Africa and Middle East" "Congenital anomalies" 32.377939142462 31 2 72 0.00402181597656252 0.00386777060698281 0.000248462644138996 0.00893907466533133
"111" "North Africa and Middle East" "Skin and subcutaneous diseases" 424.3376 417 336 551.025 0.0546746387247567 0.0537556227316272 0.0432905675929341 0.0708936577692602
"112" "North Africa and Middle East" "Sense organ diseases" 314.5308 313 263 380 0.0399952920523999 0.0397496081504702 0.0333209331663756 0.0483609066088801
"113" "North Africa and Middle East" "Oral disorders" 345.9989 309 195 721.025 0.0434559997498668 0.0389618012089241 0.0247034063238149 0.0899663825417425
"114" "North Africa and Middle East" "Sudden infant death syndrome" 0.641653905053599 0 0 4.69999999999993 8.0078168789347e-05 0 0 0.000580751553830394
"115" "North Africa and Middle East" "Injuries" NA NA NA NA NA NA NA NA
"116" "North Africa and Middle East" "All" 7860.4472 7863 7520.975 8176 NA NA NA NA
"117" "South Asia" "Tuberculosis" 38.2599394550959 40 11 57 0.00854900541880527 0.0089375489887719 0.00244993075094331 0.0126436781609195
"118" "South Asia" "HIV/AIDS" 60.4351 61 44.975 75 0.0133494389408254 0.0134007029876977 0.00983648061547259 0.0166404489851005
"119" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 308.2606 309 255 360 0.070241126024192 0.0702940231386936 0.0581420418941535 0.0822312970852849
"120" "South Asia" "Malaria" 41.075822746824 42 24 52 0.00918967271791638 0.00944956295771321 0.0054868430335097 0.0115870143159036
"121" "South Asia" "Neglected tropical diseases excluding malaria" 52.0166 52 35 71 0.0116741618300438 0.0115748522161554 0.00784991708044957 0.0160453519057594
"122" "South Asia" "Maternal disorders" 135.4509 132 85 203 0.0305655789429226 0.0298913043478261 0.0192389677441055 0.0454440117602849
"123" "South Asia" "Neonatal disorders" 108.194997498749 99 46 222 0.0243736330651701 0.0224064530584808 0.0104519473411052 0.0492999130924897
"124" "South Asia" "Nutritional deficiencies" 123.252 123 63 182.025 0.0278299850347017 0.0278985005972138 0.0143984685923557 0.0410510066886609
"125" "South Asia" "Sexually transmitted diseases excluding HIV" 77.8730653602049 20 1 480 0.0163356967702881 0.00437828371278459 0.000224341001140151 0.104932462710454
"126" "South Asia" "Hepatitis" 61.9715 62 39 86 0.0139610131308825 0.013913625809644 0.00888382687927107 0.0192669719356531
"127" "South Asia" "Leprosy" 7.55194428322693 7 0 18 0.00168989561151228 0.0015932627951884 0 0.00394862416572365
"128" "South Asia" "Neoplasms" 589.4721 590 542 631 0.1214734798807 0.121666319820702 0.112237910074429 0.129814674980896
"129" "South Asia" "Cardiovascular and circulatory diseases" 448.7852 447 388 516 0.101405593237281 0.10115896947806 0.0878685723520756 0.116290482485129
"130" "South Asia" "Chronic respiratory diseases" 232.183 232 204 261 0.0529423454535041 0.0528987219531632 0.0465170073257147 0.0597918275302087
"131" "South Asia" "Cirrhosis of the liver" 80.2839851955587 81 41 116 0.0181879072657707 0.0183142100617829 0.00924306758352468 0.0263838746923997
"132" "South Asia" "Digestive diseases (except cirrhosis)" 391.5869 386 319 496 0.0911573027388426 0.090009425070688 0.0744080745276537 0.11500485285447
"133" "South Asia" "Neurological disorders" 245.1839 244 205 292 0.0563161783493986 0.0560661712749403 0.0468607718698007 0.0668593395786513
"134" "South Asia" "Mental and behavioral disorders" 306.7366 306 276 343 0.0705143311148858 0.0703346481146938 0.0630299514569872 0.0790266688268463
"135" "South Asia" "Diabetes, urinary diseases and male infertility" 675.9782 676 606 746 0.152763861078581 0.152740603492309 0.137899538131684 0.16841391577877
"136" "South Asia" "Gynecological diseases" 138.3338 133 100 210 0.0316347537003459 0.0303239943078847 0.0229089980086049 0.0481785418473505
"137" "South Asia" "Hemoglobinopathies and hemolytic anemias" 6.72746425884123 6 0 17 0.0015002562875516 0.00133600534402138 0 0.00392012242899951
"138" "South Asia" "Musculoskeletal disorders" 355.6355 356 312 401 0.0803165115870893 0.0802504063307776 0.0705393010729847 0.0905651139744459
"139" "South Asia" "Congenital anomalies" 12.7298294144767 12 0 30 0.00282623819087882 0.00266992994738257 0 0.00661485160657346
"140" "South Asia" "Skin and subcutaneous diseases" 316.3077 313 258 392 0.0730075495000391 0.0723302663718879 0.05950471615557 0.0899672554373792
"141" "South Asia" "Sense organ diseases" 247.3217 247 209 288 0.0564129190732319 0.0562830232023892 0.0477014755176584 0.0658738481082989
"142" "South Asia" "Oral disorders" 197.2379 177 111 410 0.0443931158331592 0.0398942729898394 0.0253249626812672 0.0912269319801114
"143" "South Asia" "Sudden infant death syndrome" 0.361408882082695 0 0 2.69999999999993 8.08545522798422e-05 0 0 0.000597366809552958
"144" "South Asia" "Injuries" NA NA NA NA NA NA NA NA
"145" "South Asia" "All" 4339.9904 4343 4145 4517 NA NA NA NA
"146" "Southeast Asia, East Asia and Oceania" "Tuberculosis" 51.1650857719475 53 15 76 0.0058636348488571 0.00610001152878287 0.00172521136782187 0.00873828957391948
"147" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" 132.8694 134 101 160 0.0150407986321739 0.0151222268896041 0.0114022983850013 0.0181447154464109
"148" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 399.5355 399 325 479 0.0466129895792798 0.0465571459472298 0.0379228742253368 0.0559036637834547
"149" "Southeast Asia, East Asia and Oceania" "Malaria" 58.8365509652896 61 35 75 0.00675033670191666 0.00693260597795204 0.00407212197040767 0.00856760987538043
"150" "Southeast Asia, East Asia and Oceania" "Neglected tropical diseases excluding malaria" 72.4038 71 47 106 0.00833633400123448 0.00812630601346645 0.0054308891611136 0.0122636000666261
"151" "Southeast Asia, East Asia and Oceania" "Maternal disorders" 204.0937 198 121 323 0.02358811959382 0.0228870024909732 0.0140712629858314 0.0372076093625198
"152" "Southeast Asia, East Asia and Oceania" "Neonatal disorders" 129.775487743872 111 43 328 0.0149737499410831 0.0127635327635328 0.00499990854773808 0.0378386401374854
"153" "Southeast Asia, East Asia and Oceania" "Nutritional deficiencies" 108.4541 104 51 189 0.0125068180007404 0.0120160206149939 0.00590088385555831 0.0217265647584064
"154" "Southeast Asia, East Asia and Oceania" "Sexually transmitted diseases excluding HIV" 148.977508072598 41 3 897.5 0.0162200706129949 0.00471221810838102 0.000347584307853836 0.101700117586191
"155" "Southeast Asia, East Asia and Oceania" "Hepatitis" 189.179 191 127 241 0.0218557807563656 0.0220758314395939 0.014570560807812 0.0278661726476603
"156" "Southeast Asia, East Asia and Oceania" "Leprosy" 7.21183981427742 6 0 21 0.000827860643319924 0.000701590271281572 0 0.002363496661067
"157" "Southeast Asia, East Asia and Oceania" "Neoplasms" 2000.0795 2004 1856 2126 0.213260878249136 0.213643768191334 0.199588110131087 0.225246529661117
"158" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 1197.1806 1197 1065 1333 0.1387777802325 0.138701179704501 0.123957508680723 0.154044910950282
"159" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 428.3887 428 380 478 0.0499952348434974 0.0499378598115152 0.0442890308816916 0.0561895428164138
"160" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 165.196258877663 167 85 235.1 0.0191713600319543 0.0193401592718999 0.00989721915908235 0.0272885401638284
"161" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 730.4263 719 598 922 0.0870205010869521 0.085769163694504 0.0713540849607007 0.109292332327944
"162" "Southeast Asia, East Asia and Oceania" "Neurological disorders" 475.8314 474 402 562 0.0559540363909292 0.0557562447931345 0.0472766153062242 0.0659433596637264
"163" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" 577.1859 576 523 641 0.0677453464160785 0.0675857936819487 0.0612218610638094 0.0754874328245956
"164" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 1199.663 1199 1081 1325 0.138389283776273 0.138216565054419 0.125213406013917 0.152455005055612
"165" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" 293.211 283 221 426 0.0343424079640424 0.033151760380026 0.0258671737309538 0.0498134108559176
"166" "Southeast Asia, East Asia and Oceania" "Hemoglobinopathies and hemolytic anemias" 12.0303987960873 11 0 31 0.00137588491069658 0.00124872289703712 0 0.00357794862458634
"167" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" 646.5768 646 569 727 0.0745440804468159 0.0744275906823337 0.0656846780875267 0.0838004038534657
"168" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 31.6315122176118 30 2 71 0.00361102273262323 0.0034698579775598 0.00022657113044578 0.00804299267963627
"169" "Southeast Asia, East Asia and Oceania" "Skin and subcutaneous diseases" 366.5606 358 281 499.025 0.0433014434273377 0.0423929674382775 0.0331767744978226 0.058775974692718
"170" "Southeast Asia, East Asia and Oceania" "Sense organ diseases" 409.2474 408 345 479.025 0.0477472714272962 0.047575476308324 0.0402838103715473 0.056031186942284
"171" "Southeast Asia, East Asia and Oceania" "Oral disorders" 251.436 211 105 639 0.0290365521385105 0.0244674970634607 0.0123758991333326 0.0729923383620713
"172" "Southeast Asia, East Asia and Oceania" "Sudden infant death syndrome" 0.678407350689127 0 0 5 7.78561622205437e-05 0 0 0.000570419461234604
"173" "Southeast Asia, East Asia and Oceania" "Injuries" NA NA NA NA NA NA NA NA
"174" "Southeast Asia, East Asia and Oceania" "All" 8442.5907 8448 8087 8763 NA NA NA NA
"175" "Sub-Saharian Africa" "Tuberculosis" 100.652270433905 106 30 144 0.0441327120006736 0.0464308890453157 0.0133527742203454 0.0624442770434366
"176" "Sub-Saharian Africa" "HIV/AIDS" 316.8762 320 249 366 0.137050682984371 0.138513513513514 0.109353391138433 0.156862961711419
"177" "Sub-Saharian Africa" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 130.4176 130 105 155 0.0578685408406741 0.0579074212742039 0.04677560440546 0.0689038421574854
"178" "Sub-Saharian Africa" "Malaria" 265.154346303891 274 167 315 0.115566967126312 0.119230769230769 0.0754959057247575 0.136587074452181
"179" "Sub-Saharian Africa" "Neglected tropical diseases excluding malaria" 69.0364 71 48 82 0.0302378497504735 0.0309477294940022 0.0208965946046097 0.0359202421003269
"180" "Sub-Saharian Africa" "Maternal disorders" 67.2021 66 42 100 0.0295708454129279 0.0290540330767712 0.0184207146719539 0.0438062797369432
"181" "Sub-Saharian Africa" "Neonatal disorders" 49.9765882941471 46 21 101 0.0220125838833912 0.0203000882612533 0.00913223438014149 0.0445175656004578
"182" "Sub-Saharian Africa" "Nutritional deficiencies" 92.0445 93 49 131 0.0407265731887758 0.0411818285575137 0.0217780907704281 0.057573307118037
"183" "Sub-Saharian Africa" "Sexually transmitted diseases excluding HIV" 37.9287384478343 11 1 227 0.0159647490915897 0.00504818724185406 0.000427167876975651 0.0976536502546689
"184" "Sub-Saharian Africa" "Hepatitis" 11.2375 11 5 21 0.00495242940498343 0.00471900471900472 0.00217013888888889 0.00937506660272805
