"metr" "Region" "Disease" "burden"
"88" "daly" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 1084173.6688
"89" "daly" "North Africa and Middle East" "Gynecological diseases" 657363.689
"90" "daly" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 1066843.92
"91" "daly" "North Africa and Middle East" "Hepatitis" 338626.564
"92" "daly" "North Africa and Middle East" "HIV/AIDS" 285264.7037
"93" "daly" "North Africa and Middle East" "Leprosy" 34.2475894
"94" "daly" "North Africa and Middle East" "Malaria" 497422.076543
"95" "daly" "North Africa and Middle East" "Maternal disorders" 426291.40221
"96" "daly" "North Africa and Middle East" "Mental and behavioral disorders" 12446998.4689
"97" "daly" "North Africa and Middle East" "Musculoskeletal disorders" 9020274.53601
"98" "daly" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 784504.39094425
"99" "daly" "North Africa and Middle East" "Neonatal disorders" 10285578.519
"100" "daly" "North Africa and Middle East" "Neoplasms" 6210413.1201
"101" "daly" "North Africa and Middle East" "Neurological disorders" 2994475.5963
"102" "daly" "North Africa and Middle East" "Nutritional deficiencies" 4214868.4023614
"103" "daly" "North Africa and Middle East" "Oral disorders" 817136.73
"104" "daly" "North Africa and Middle East" "Sense organ diseases" 1802577.68
"105" "daly" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 316021.039
"106" "daly" "North Africa and Middle East" "Skin and subcutaneous diseases" 2066247.77
"107" "daly" "North Africa and Middle East" "Sudden infant death syndrome" 66582.5199
"108" "daly" "North Africa and Middle East" "Tuberculosis" 876410.832
"109" "daly" "South Asia" "Cardiovascular and circulatory diseases" 56395260.4558
"110" "daly" "South Asia" "Chronic respiratory diseases" 38910999.427
"111" "daly" "South Asia" "Cirrhosis of the liver" 7748644.61
"112" "daly" "South Asia" "Congenital anomalies" 12842241.56
"113" "daly" "South Asia" "Diabetes, urinary diseases and male infertility" 18349709.329
"114" "daly" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 130854936.2907
"115" "daly" "South Asia" "Digestive diseases (except cirrhosis)" 10637073.7284
"116" "daly" "South Asia" "Gynecological diseases" 2660870.596
"117" "daly" "South Asia" "Hemoglobinopathies and hemolytic anemias" 3900744.15
"118" "daly" "South Asia" "Hepatitis" 7916611.08
"119" "daly" "South Asia" "HIV/AIDS" 9343741.524
"120" "daly" "South Asia" "Leprosy" 5635.277723
"121" "daly" "South Asia" "Malaria" 5765646.81
"122" "daly" "South Asia" "Maternal disorders" 6585487.053
"123" "daly" "South Asia" "Mental and behavioral disorders" 35886033.725
"124" "daly" "South Asia" "Musculoskeletal disorders" 27652034.9803
"125" "daly" "South Asia" "Neglected tropical diseases excluding malaria" 8833911.747837
"126" "daly" "South Asia" "Neonatal disorders" 100884520.59
"127" "daly" "South Asia" "Neoplasms" 22858405.613
"128" "daly" "South Asia" "Neurological disorders" 20592151.3721
"129" "daly" "South Asia" "Nutritional deficiencies" 33699622.79313
"130" "daly" "South Asia" "Oral disorders" 3229059.62
"131" "daly" "South Asia" "Sense organ diseases" 8925553.12
"132" "daly" "South Asia" "Sexually transmitted diseases excluding HIV" 3495050.32
"133" "daly" "South Asia" "Skin and subcutaneous diseases" 8460830.28
"134" "daly" "South Asia" "Sudden infant death syndrome" 614820.087
"135" "daly" "South Asia" "Tuberculosis" 23662351.34
"136" "daly" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 81711419.5221
"137" "daly" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 31793866.11224
"138" "daly" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 7368063.0155
"139" "daly" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 10039357.304
"140" "daly" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 21111320.30755
"141" "daly" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 37348849.438667
"142" "daly" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 6504332.20409
"143" "daly" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" 2764233.494
"144" "daly" "Southeast Asia, East Asia and Oceania" "Hemoglobinopathies and hemolytic anemias" 2852210.214
"145" "daly" "Southeast Asia, East Asia and Oceania" "Hepatitis" 1938601.337
"146" "daly" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" 5529374.276
"147" "daly" "Southeast Asia, East Asia and Oceania" "Leprosy" 791.041623
"148" "daly" "Southeast Asia, East Asia and Oceania" "Malaria" 3550926.41774
"149" "daly" "Southeast Asia, East Asia and Oceania" "Maternal disorders" 2325652.32232
"150" "daly" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" 45003890.75685
"151" "daly" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" 42209775.433731
"152" "daly" "Southeast Asia, East Asia and Oceania" "Neglected tropical diseases excluding malaria" 7139081.1718283
"153" "daly" "Southeast Asia, East Asia and Oceania" "Neonatal disorders" 27954940.493
"154" "daly" "Southeast Asia, East Asia and Oceania" "Neoplasms" 65739057.51199
"155" "daly" "Southeast Asia, East Asia and Oceania" "Neurological disorders" 11679739.49907
"156" "daly" "Southeast Asia, East Asia and Oceania" "Nutritional deficiencies" 9359000.78434624
"157" "daly" "Southeast Asia, East Asia and Oceania" "Oral disorders" 4105884.8098
"158" "daly" "Southeast Asia, East Asia and Oceania" "Sense organ diseases" 9048243.671
"159" "daly" "Southeast Asia, East Asia and Oceania" "Sexually transmitted diseases excluding HIV" 1313316.9396
"160" "daly" "Southeast Asia, East Asia and Oceania" "Skin and subcutaneous diseases" 9219227.794
"161" "daly" "Southeast Asia, East Asia and Oceania" "Sudden infant death syndrome" 235197.2442
"162" "daly" "Southeast Asia, East Asia and Oceania" "Tuberculosis" 13100468.458
"163" "daly" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" 18363309.56983
"164" "daly" "Sub-Saharian Africa" "Chronic respiratory diseases" 12211131.58852
"165" "daly" "Sub-Saharian Africa" "Cirrhosis of the liver" 3411973.4956
"166" "daly" "Sub-Saharian Africa" "Congenital anomalies" 7288013.398
"167" "daly" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" 7434596.68814
"168" "daly" "Sub-Saharian Africa" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 125531847.741516
"169" "daly" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" 5930791.094096
"170" "daly" "Sub-Saharian Africa" "Gynecological diseases" 1113370.0734
"171" "daly" "Sub-Saharian Africa" "Hemoglobinopathies and hemolytic anemias" 4274718.5
"172" "daly" "Sub-Saharian Africa" "Hepatitis" 1881523.653
"173" "daly" "Sub-Saharian Africa" "HIV/AIDS" 73546276.63041
"174" "daly" "Sub-Saharian Africa" "Leprosy" 970.3528647
"175" "daly" "Sub-Saharian Africa" "Malaria" 91415895.753867
"176" "daly" "Sub-Saharian Africa" "Maternal disorders" 8477785.69603
"177" "daly" "Sub-Saharian Africa" "Mental and behavioral disorders" 17363811.43312
"178" "daly" "Sub-Saharian Africa" "Musculoskeletal disorders" 13350778.793412
"179" "daly" "Sub-Saharian Africa" "Neglected tropical diseases excluding malaria" 8211482.75137655
"180" "daly" "Sub-Saharian Africa" "Neonatal disorders" 63398508.5998
"181" "daly" "Sub-Saharian Africa" "Neoplasms" 9557038.34615
"182" "daly" "Sub-Saharian Africa" "Neurological disorders" 8853468.54135
"183" "daly" "Sub-Saharian Africa" "Nutritional deficiencies" 34087918.0548396
"184" "daly" "Sub-Saharian Africa" "Oral disorders" 1223932.799
"185" "daly" "Sub-Saharian Africa" "Sense organ diseases" 3381445.424
"186" "daly" "Sub-Saharian Africa" "Sexually transmitted diseases excluding HIV" 6979984.6827
"187" "daly" "Sub-Saharian Africa" "Skin and subcutaneous diseases" 5289905.773
"188" "daly" "Sub-Saharian Africa" "Sudden infant death syndrome" 460110.98746
"189" "daly" "Sub-Saharian Africa" "Tuberculosis" 14514233.807
"190" "death" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" 3011141.34424
"191" "death" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" 162502.71664
"192" "death" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" 129070.71451
"193" "death" "Central Europe, Eastern Europe, and Central Asia" "Congenital anomalies" 28114.7585
"194" "death" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" 105287.40741
"195" "death" "Central Europe, Eastern Europe, and Central Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 143745.0812661
"196" "death" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" 89089.387041
"197" "death" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" 570.876528
"198" "death" "Central Europe, Eastern Europe, and Central Asia" "Hemoglobinopathies and hemolytic anemias" 2428.39676
"199" "death" "Central Europe, Eastern Europe, and Central Asia" "Hepatitis" 2258.93429
"200" "death" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" 54485.10195
"201" "death" "Central Europe, Eastern Europe, and Central Asia" "Leprosy" 0
"202" "death" "Central Europe, Eastern Europe, and Central Asia" "Malaria" 19.662997
"203" "death" "Central Europe, Eastern Europe, and Central Asia" "Maternal disorders" 1848.02748557
"204" "death" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" 63870.520098
"205" "death" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" 7053.66191
"206" "death" "Central Europe, Eastern Europe, and Central Asia" "Neglected tropical diseases excluding malaria" 1724.312643
"207" "death" "Central Europe, Eastern Europe, and Central Asia" "Neonatal disorders" 40462.66417
"208" "death" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" 818669.16051
"209" "death" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" 41881.43437
"210" "death" "Central Europe, Eastern Europe, and Central Asia" "Nutritional deficiencies" 3740.892358
"211" "death" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 908.71218
"212" "death" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 1250.77517
"213" "death" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 1304.41846
"214" "death" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 59146.83513
"215" "death" "High-income" "Cardiovascular and circulatory diseases" 3138411.639961
"216" "death" "High-income" "Chronic respiratory diseases" 512602.713218
"217" "death" "High-income" "Cirrhosis of the liver" 170017.638495
"218" "death" "High-income" "Congenital anomalies" 37844.6296
"219" "death" "High-income" "Diabetes, urinary diseases and male infertility" 445679.3387659
"220" "death" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 425457.304731309
"221" "death" "High-income" "Digestive diseases (except cirrhosis)" 208847.603389
"222" "death" "High-income" "Gynecological diseases" 858.3302148
"223" "death" "High-income" "Hemoglobinopathies and hemolytic anemias" 10312.853271
"224" "death" "High-income" "Hepatitis" 7206.182097
"225" "death" "High-income" "HIV/AIDS" 24211.12494
"226" "death" "High-income" "Leprosy" 0
"227" "death" "High-income" "Malaria" 3.86409
"228" "death" "High-income" "Maternal disorders" 1644.2712186817
"229" "death" "High-income" "Mental and behavioral disorders" 64708.7108296
"230" "death" "High-income" "Musculoskeletal disorders" 43001.672021
"231" "death" "High-income" "Neglected tropical diseases excluding malaria" 3498.99398526
"232" "death" "High-income" "Neonatal disorders" 36904.4768392
"233" "death" "High-income" "Neoplasms" 2308101.570625
"234" "death" "High-income" "Neurological disorders" 417898.62637
"235" "death" "High-income" "Nutritional deficiencies" 24377.8552052
"236" "death" "High-income" "Sexually transmitted diseases excluding HIV" 1068.2409626
"237" "death" "High-income" "Skin and subcutaneous diseases" 16757.945626
"238" "death" "High-income" "Sudden infant death syndrome" 3686.180476
"239" "death" "High-income" "Tuberculosis" 16452.640224
"240" "death" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 753643.933145
"241" "death" "Latin America and Caribbean" "Chronic respiratory diseases" 141001.552683
"242" "death" "Latin America and Caribbean" "Cirrhosis of the liver" 80618.16844
"243" "death" "Latin America and Caribbean" "Congenital anomalies" 43049.45495
"244" "death" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 228870.4280543
"245" "death" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 212816.08115732
"246" "death" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 71744.606453
"247" "death" "Latin America and Caribbean" "Gynecological diseases" 747.122075
"248" "death" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 4177.81186
"249" "death" "Latin America and Caribbean" "Hepatitis" 3154.78784
"250" "death" "Latin America and Caribbean" "HIV/AIDS" 70272.83905
"251" "death" "Latin America and Caribbean" "Leprosy" 0
"252" "death" "Latin America and Caribbean" "Malaria" 1779.556885
"253" "death" "Latin America and Caribbean" "Maternal disorders" 7899.885134196
"254" "death" "Latin America and Caribbean" "Mental and behavioral disorders" 19049.515486
"255" "death" "Latin America and Caribbean" "Musculoskeletal disorders" 11428.867966
"256" "death" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 12584.1296452106
"257" "death" "Latin America and Caribbean" "Neonatal disorders" 109626.85361
"258" "death" "Latin America and Caribbean" "Neoplasms" 395572.7527309
"259" "death" "Latin America and Caribbean" "Neurological disorders" 34502.833602
"260" "death" "Latin America and Caribbean" "Nutritional deficiencies" 44972.9794039
"261" "death" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 4973.611853
"262" "death" "Latin America and Caribbean" "Skin and subcutaneous diseases" 5831.49574
"263" "death" "Latin America and Caribbean" "Sudden infant death syndrome" 842.194276
"264" "death" "Latin America and Caribbean" "Tuberculosis" 22552.287941
"265" "death" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 797116.97582
"266" "death" "North Africa and Middle East" "Chronic respiratory diseases" 92489.20276
"267" "death" "North Africa and Middle East" "Cirrhosis of the liver" 51760.7493
"268" "death" "North Africa and Middle East" "Congenital anomalies" 59456.0839
"269" "death" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 105057.976938
"270" "death" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 166931.1511838
"271" "death" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 32821.71470705
"272" "death" "North Africa and Middle East" "Gynecological diseases" 291.152674
"273" "death" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 7822.32962
"274" "death" "North Africa and Middle East" "Hepatitis" 9616.22869
"275" "death" "North Africa and Middle East" "HIV/AIDS" 5528.718429
"276" "death" "North Africa and Middle East" "Leprosy" 0
"277" "death" "North Africa and Middle East" "Malaria" 7709.07319
"278" "death" "North Africa and Middle East" "Maternal disorders" 6290.5697338
"279" "death" "North Africa and Middle East" "Mental and behavioral disorders" 8079.960035
"280" "death" "North Africa and Middle East" "Musculoskeletal disorders" 2727.748006
"281" "death" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 6899.74696317
"282" "death" "North Africa and Middle East" "Neonatal disorders" 113654.66298
"283" "death" "North Africa and Middle East" "Neoplasms" 212893.90763
"284" "death" "North Africa and Middle East" "Neurological disorders" 24618.91756
"285" "death" "North Africa and Middle East" "Nutritional deficiencies" 13905.81708609
"286" "death" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 3329.591319
"287" "death" "North Africa and Middle East" "Skin and subcutaneous diseases" 2824.33063
"288" "death" "North Africa and Middle East" "Sudden infant death syndrome" 774.887402
"289" "death" "North Africa and Middle East" "Tuberculosis" 12494.72723
"290" "death" "South Asia" "Cardiovascular and circulatory diseases" 2307219.982426
"291" "death" "South Asia" "Chronic respiratory diseases" 1143108.8337
"292" "death" "South Asia" "Cirrhosis of the liver" 230611.9754
"293" "death" "South Asia" "Congenital anomalies" 186612.1057
"294" "death" "South Asia" "Diabetes, urinary diseases and male infertility" 470072.7329
"295" "death" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 2214807.468686
"296" "death" "South Asia" "Digestive diseases (except cirrhosis)" 307497.578848
"297" "death" "South Asia" "Gynecological diseases" 771.875779
"298" "death" "South Asia" "Hemoglobinopathies and hemolytic anemias" 24319.90279
"299" "death" "South Asia" "Hepatitis" 171036.8431
"300" "death" "South Asia" "HIV/AIDS" 175491.97628
"301" "death" "South Asia" "Leprosy" 0
"302" "death" "South Asia" "Malaria" 108789.754
"303" "death" "South Asia" "Maternal disorders" 107733.41706
"304" "death" "South Asia" "Mental and behavioral disorders" 14569.847002
"305" "death" "South Asia" "Musculoskeletal disorders" 12128.39899
"306" "death" "South Asia" "Neglected tropical diseases excluding malaria" 67419.81333458
"307" "death" "South Asia" "Neonatal disorders" 1138075.2328
"308" "death" "South Asia" "Neoplasms" 764845.4504249
"309" "death" "South Asia" "Neurological disorders" 329935.369376
"310" "death" "South Asia" "Nutritional deficiencies" 222587.86699748
"311" "death" "South Asia" "Sexually transmitted diseases excluding HIV" 39744.1944
"312" "death" "South Asia" "Skin and subcutaneous diseases" 30919.18797
"313" "death" "South Asia" "Sudden infant death syndrome" 7158.63439
"314" "death" "South Asia" "Tuberculosis" 612472.3977
"315" "death" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 4080195.975294
"316" "death" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 1371632.447892
"317" "death" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 238204.58551
"318" "death" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 115771.0058
"319" "death" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 542929.808197
"320" "death" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 741049.81516729
"321" "death" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 209576.706264
"322" "death" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" 2529.28985
"323" "death" "Southeast Asia, East Asia and Oceania" "Hemoglobinopathies and hemolytic anemias" 24233.463311
"324" "death" "Southeast Asia, East Asia and Oceania" "Hepatitis" 52210.33396
"325" "death" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" 108917.5191
"326" "death" "Southeast Asia, East Asia and Oceania" "Leprosy" 0
"327" "death" "Southeast Asia, East Asia and Oceania" "Malaria" 68494.14518
"328" "death" "Southeast Asia, East Asia and Oceania" "Maternal disorders" 34645.6800474
"329" "death" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" 32150.473152
"330" "death" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" 32707.3135061
"331" "death" "Southeast Asia, East Asia and Oceania" "Neglected tropical diseases excluding malaria" 30034.051843426
"332" "death" "Southeast Asia, East Asia and Oceania" "Neonatal disorders" 295701.21046
"333" "death" "Southeast Asia, East Asia and Oceania" "Neoplasms" 2512314.0517489
"334" "death" "Southeast Asia, East Asia and Oceania" "Neurological disorders" 102868.0740404
"335" "death" "Southeast Asia, East Asia and Oceania" "Nutritional deficiencies" 37702.7006128
"336" "death" "Southeast Asia, East Asia and Oceania" "Sexually transmitted diseases excluding HIV" 11218.535216
"337" "death" "Southeast Asia, East Asia and Oceania" "Skin and subcutaneous diseases" 18186.76168
"338" "death" "Southeast Asia, East Asia and Oceania" "Sudden infant death syndrome" 2737.094699
"339" "death" "Southeast Asia, East Asia and Oceania" "Tuberculosis" 331502.54853
"340" "death" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" 638813.8690589
"341" "death" "Sub-Saharian Africa" "Chronic respiratory diseases" 149425.123725
"342" "death" "Sub-Saharian Africa" "Cirrhosis of the liver" 89875.61447
"343" "death" "Sub-Saharian Africa" "Congenital anomalies" 83038.35346
"344" "death" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" 184429.1566728
"345" "death" "Sub-Saharian Africa" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 1826370.01815076
"346" "death" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" 142396.5572755
"347" "death" "Sub-Saharian Africa" "Gynecological diseases" 601.3300614
"348" "death" "Sub-Saharian Africa" "Hemoglobinopathies and hemolytic anemias" 35522.53661
"349" "death" "Sub-Saharian Africa" "Hepatitis" 34623.19683
"350" "death" "Sub-Saharian Africa" "HIV/AIDS" 1287001.2786869
"351" "death" "Sub-Saharian Africa" "Leprosy" 0
"352" "death" "Sub-Saharian Africa" "Malaria" 1271954.575
"353" "death" "Sub-Saharian Africa" "Maternal disorders" 138830.10068288
