"Region" "Disease" "SimMn_NbRCTs" "SimMed_NbRCTs" "Sim95low_NbRCTs" "Sim95up_NbRCTs" "SimMn_PrRCTs" "SimMed_PrRCTs" "Sim95low_PrRCTs" "Sim95up_PrRCTs" "Prp_gbd" "Tot_gbd" "GAP"
"9" "Central Europe, Eastern Europe, and Central Asia" "Sexually transmitted diseases excluding HIV" 89.7938982295958 19 1 569 0.0140538554490246 0.0030441400304414 0.000158365667316481 0.0914559406790028 0.00094777851652404 143605.385 FALSE
"24" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" 341.8239 337 276 430.025 0.057137736405425 0.0564068573920721 0.0461281650004897 0.0721130797386947 0.0125148772294602 1896227.58 FALSE
"27" "Central Europe, Eastern Europe, and Central Asia" "Sudden infant death syndrome" 0.450229709035222 0 0 3.69999999999993 7.31789952196442e-05 0 0 0.000602132995399371 0.000739722164137226 112081.129 FALSE
"1" "Central Europe, Eastern Europe, and Central Asia" "Tuberculosis" 17.1117053481332 17 4 28.2749999999996 0.00278124309813186 0.00284022352083005 0.000657883973136107 0.00465706413729596 0.0182764909724469 2769215.04 TRUE
"42" "High-income" "Cardiovascular and circulatory diseases" 7960.1968 7962 7081.925 8880.025 0.12950469345535 0.129406984047595 0.115520133069861 0.144120689091128 0.188061072831755 43545778.64408 FALSE
"43" "High-income" "Chronic respiratory diseases" 3776.5637 3779 3396 4146.025 0.0618331191748221 0.0618277616943738 0.0555256065061132 0.0684038976500069 0.0589155917484321 13641979.5885 FALSE
"44" "High-income" "Cirrhosis of the liver" 705.116134840452 704 362 1049 0.0114585783085302 0.0114508225122511 0.00585029938806955 0.0170644077260148 0.0172559448100444 3995635.7883 FALSE
"52" "High-income" "Congenital anomalies" 308.185454126326 299 23 665.125 0.00493175370935003 0.00478050286788621 0.000375700556926529 0.0105933762049092 0.00991959190204179 2296894.018 FALSE
"48" "High-income" "Diabetes, urinary diseases and male infertility" 8754.5833 8749 7908 9614.025 0.141872196391882 0.141776390654191 0.128666905006949 0.155761337308423 0.0532859344036023 12338425.328766 FALSE
"32" "High-income" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 2437.8762 2426 1975.975 2964.05 0.0399039736915878 0.0397333659830592 0.0323337824883523 0.0486714370376879 0.02957311172767 6847691.3255826 FALSE
"45" "High-income" "Digestive diseases (except cirrhosis)" 4621.4956 4537 3701 6028.1 0.0773614044776947 0.0760310687464356 0.0621371050451943 0.100363261203548 0.0169225690896265 3918442.2197 FALSE
"49" "High-income" "Gynecological diseases" 1625.6004 1543 1141.975 2600.075 0.02670776628883 0.0253730444603037 0.018792007927918 0.0428140363474381 0.00525812763000648 1217526.0856 FALSE
"50" "High-income" "Hemoglobinopathies and hemolytic anemias" 93.5851015801354 86 5 229 0.00149960757510683 0.0013795316008983 7.86321815802101e-05 0.00366046303720272 0.00696434877051653 1612603.743 FALSE
"39" "High-income" "Hepatitis" 636.9573 630 414.975 917 0.0103158097079288 0.010191007371337 0.00669142510427088 0.0148677748908193 0.000879898998316794 203741.72301 FALSE
"31" "High-income" "HIV/AIDS" 986.8925 994 767 1169.025 0.0156617362434243 0.015767150265309 0.0121793436319275 0.0186145432462887 0.00524041106230441 1213423.792 FALSE
"40" "High-income" "Leprosy" 46.2758270458503 39 2 140 0.000743933138116387 0.000633302320435178 3.25131385511223e-05 0.00227650555679303 1.03134835933603e-07 23.88100136 FALSE
"33" "High-income" "Malaria" 79.186155846754 74 43 147 0.00127293429792969 0.00118404619402138 0.000684880478109478 0.0023565564527396 6.09475821100952e-06 1411.248952 FALSE
"35" "High-income" "Maternal disorders" 1426.8677 1377 844 2290.075 0.0231288902113861 0.0223511471414661 0.0138125389207043 0.0370174858424718 0.000559387104450023 129526.789675 FALSE
"47" "High-income" "Mental and behavioral disorders" 7349.2393 7349 6837.975 7864.05 0.121046205225412 0.121024585504476 0.112248905556997 0.129997886860847 0.13503505015508 31267536.20355 FALSE
"51" "High-income" "Musculoskeletal disorders" 5234.7509 5234 4662.975 5821.025 0.08485908121297 0.0848205991937776 0.0757178562844065 0.0943634361166867 0.15362340047264 35571692.16788 FALSE
"34" "High-income" "Neglected tropical diseases excluding malaria" 218.5784 195.5 117 447 0.00352689028426045 0.00315637477953943 0.00188113151959517 0.00723860376759728 0.00110320763142684 255449.1186996 FALSE
"36" "High-income" "Neonatal disorders" 1096.34797398699 958 414.85 2576.15 0.017721533002377 0.015519712671137 0.0067286002779089 0.0414673914453414 0.0164609420828892 3811551.90397 FALSE
"41" "High-income" "Neoplasms" 9483.7582 9503 8805.975 10070 0.140669820147983 0.140937416852884 0.131045611977561 0.148860443417845 0.18699221685447 43298283.69423 FALSE
"46" "High-income" "Neurological disorders" 5035.9621 5032 4394 5712 0.0831316312372491 0.0830070405505381 0.072530872642422 0.0942984462783918 0.0538482966439021 12468641.0149 FALSE
"37" "High-income" "Nutritional deficiencies" 853.3049 825 423 1440.05 0.0137864966182158 0.0133323347313761 0.00686004152926226 0.0233483380997224 0.00516527057386593 1196024.917116 FALSE
"55" "High-income" "Oral disorders" 1752.0094 1446 689 4646.05 0.0283198475111379 0.0235483290154773 0.0113101348033392 0.0747526759539015 0.0101315441008439 2345971.817 FALSE
"54" "High-income" "Sense organ diseases" 4213.5942 4209.5 3657 4788 0.0690997266108946 0.0690295783242521 0.0599183597424406 0.0786233575537553 0.0178453947955228 4132123.676 FALSE
"38" "High-income" "Sexually transmitted diseases excluding HIV" 1106.07215232157 300 28 6639.5 0.0167206101974323 0.00482750878093375 0.000444043223272629 0.104020301870478 0.000758987330055868 175744.4737 FALSE
"53" "High-income" "Skin and subcutaneous diseases" 3266.5379 3208 2608.975 4244.025 0.0541717362850791 0.0532315969717573 0.0433281993339959 0.0701682487543021 0.0229428755416952 5312451.773 FALSE
"56" "High-income" "Sudden infant death syndrome" 6.67228177641654 3 0 36.3999999999999 0.000107210765103983 4.81858044620055e-05 0 0.000583624203963579 0.00136822558000452 316814.359 TRUE
"30" "High-income" "Tuberculosis" 97.7076690211907 95 27 187 0.00156783429458834 0.00152293927317977 0.000436799759859416 0.00301454871219251 0.00188240026579017 435872.1561 FALSE
"71" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" 508.5048 508 446 574 0.119464207664837 0.119357125974947 0.104959205376169 0.134643334855395 0.129973519670985 15012901.6301 FALSE
"72" "Latin America and Caribbean" "Chronic respiratory diseases" 293.06 293 261 323 0.0695019835661555 0.0695320809410172 0.0618990439936212 0.0768862275449102 0.0476238406119794 5500905.38569 FALSE
"73" "Latin America and Caribbean" "Cirrhosis of the liver" 41.4566369910973 41 19 65 0.00978228869096333 0.00970649410677143 0.00455668388920595 0.0152744609312201 0.0205737666197525 2376422.022 FALSE
"81" "Latin America and Caribbean" "Congenital anomalies" 12.6763485477178 12 0 30 0.00294268089139387 0.00278196364002222 0 0.00684521298041312 0.0313184114667515 3617507.872 TRUE
"77" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" 704.0002 704 636 772 0.165106958682806 0.165073443693169 0.149904167501437 0.180723103384 0.059445583099081 6866403.96959 FALSE
"61" "Latin America and Caribbean" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 220.5501 220 180 263 0.0523169209195862 0.0522705771050142 0.0426629160806376 0.0623409649085837 0.0920730711447905 10635119.856545 FALSE
"74" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" 308.9183 303 245 402 0.0748980147396749 0.0736378838346214 0.059575211207395 0.0970603142422707 0.0169632908020917 1959385.39465 FALSE
"78" "Latin America and Caribbean" "Gynecological diseases" 118.2934 113 85 183 0.0282037396545861 0.0269765184310353 0.0201468691919009 0.043427203726331 0.00580285750279127 670272.907 FALSE
"79" "Latin America and Caribbean" "Hemoglobinopathies and hemolytic anemias" 8.45327313769752 8 0 21 0.00196769743498259 0.00183823529411765 0 0.00487533120412644 0.00766750330323881 885653.271 FALSE
"68" "Latin America and Caribbean" "Hepatitis" 56.1968 56 36 78 0.0132162132021337 0.0131822386679001 0.00836507000805344 0.0184162814034102 0.00124391608183627 143681.4962 FALSE
"60" "Latin America and Caribbean" "HIV/AIDS" 91.9354 93 69 110 0.0211726913124805 0.0213464696223317 0.0160651226305068 0.0253682262619141 0.0310785522704595 3589802.363 FALSE
"69" "Latin America and Caribbean" "Leprosy" 4.03380731282647 4 0 11 0.000942333762795223 0.000913450559488468 0 0.00258673121279505 9.18446042195015e-06 1060.8730239 FALSE
"62" "Latin America and Caribbean" "Malaria" 12.0521156346904 12 6 18 0.0028140358069907 0.00281954887218045 0.00142887849727851 0.00423539379507981 0.000950627317735921 109804.4774365 FALSE
"64" "Latin America and Caribbean" "Maternal disorders" 104.036 101 62 164 0.0244576843252038 0.0237814928184601 0.0146577248530188 0.0383717610019305 0.00404862526935951 467646.12561 FALSE
"76" "Latin America and Caribbean" "Mental and behavioral disorders" 302.8299 302 273 337 0.0722167243476454 0.0720980609314287 0.0648889219823411 0.0805643590167916 0.128389372672953 14829920.94981 FALSE
"80" "Latin America and Caribbean" "Musculoskeletal disorders" 493.0456 494 439 546 0.115777236341446 0.115858658146739 0.103399379647278 0.127899785726787 0.0924771729763777 10681796.603174 FALSE
"63" "Latin America and Caribbean" "Neglected tropical diseases excluding malaria" 76.5971 78 52 96 0.0179295253928854 0.018127572819389 0.0122864482903925 0.0224747838072531 0.0139299141870676 1609007.98820843 FALSE
"65" "Latin America and Caribbean" "Neonatal disorders" 74.1991995997999 65 28 171.15 0.0174300644021599 0.0153667054714785 0.00648570298568564 0.0401306660982806 0.0871724864680537 10069066.126 TRUE
"70" "Latin America and Caribbean" "Neoplasms" 592.3568 594 546 634 0.1274886302917 0.127682403433476 0.118091416118714 0.135934870227655 0.0839545011527448 9697365.05098 FALSE
"75" "Latin America and Caribbean" "Neurological disorders" 272.3254 272 231 318 0.0651157070809887 0.0649225958392095 0.0552836619876536 0.0760267851208581 0.0390784949467411 4513854.8373 FALSE
"66" "Latin America and Caribbean" "Nutritional deficiencies" 66.2025 65 32 109 0.0155374198113295 0.0151673857374051 0.00759013282732448 0.0257005424076495 0.0376458916746146 4348378.57679833 FALSE
"84" "Latin America and Caribbean" "Oral disorders" 161.0094 142 86 351.025 0.0378705331778392 0.0335500543557098 0.0204178509652577 0.0819885177785486 0.0108078108504257 1248381.99 FALSE
"83" "Latin America and Caribbean" "Sense organ diseases" 246.1175 246 209 285 0.0584391903153225 0.0583433293349327 0.0496119839973608 0.0677181776095062 0.0193823831971698 2238808.436 FALSE
"67" "Latin America and Caribbean" "Sexually transmitted diseases excluding HIV" 75.4287941209219 24 2 436.5 0.0168059568870237 0.00558399255467659 0.000461574581845173 0.100732586063297 0.00431547340785052 498469.0568 FALSE
"82" "Latin America and Caribbean" "Skin and subcutaneous diseases" 206.9022 203 162 272 0.0497015021359317 0.0488622754491018 0.0388779008925114 0.0651825674933083 0.0243888585513585 2817093.322 FALSE
"85" "Latin America and Caribbean" "Sudden infant death syndrome" 0.320061255742726 0 0 3 7.47641576663821e-05 0 0 0.000686156674208144 0.000626367922514827 72350.122 FALSE
"59" "Latin America and Caribbean" "Tuberculosis" 28.1049445005045 29 8 42 0.00655389362025793 0.0068412361405992 0.00187468928522072 0.00986378581493659 0.0090585223708531 1046326.2487 FALSE
"100" "North Africa and Middle East" "Cardiovascular and circulatory diseases" 907.6125 906 796 1027 0.114783299407478 0.114607864242604 0.100820894960086 0.129614703225145 0.18786931406707 19214032.7554 FALSE
"101" "North Africa and Middle East" "Chronic respiratory diseases" 318.2876 318 278 362 0.0405266472534723 0.0403995319620643 0.035334225125834 0.0464046719235766 0.0467557075489037 4781864.9938 FALSE
"102" "North Africa and Middle East" "Cirrhosis of the liver" 98.1345403621086 98 49 147 0.0123843966824015 0.0124327095616509 0.00613567512502461 0.0185550849255463 0.0143893225945067 1471644.888 FALSE
"110" "North Africa and Middle East" "Congenital anomalies" 32.377939142462 31 2 72 0.00402181597656252 0.00386777060698281 0.000248462644138996 0.00893907466533133 0.0497790011743029 5091067.5 TRUE
"106" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" 1185.0177 1185 1066 1306 0.149337158106031 0.149279095111428 0.134900486470676 0.164087528658584 0.0456736551743941 4671199.8228 FALSE
"90" "North Africa and Middle East" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 261.6402 260 205 330 0.0332463083928736 0.0330081075367737 0.0260275606150169 0.041933040854131 0.105457299678585 10785476.172 TRUE
"103" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" 857.7405 848 722 1045 0.111464779481009 0.110328778992342 0.094258791647505 0.134800130357898 0.0106007398904736 1084173.6688 FALSE
"107" "North Africa and Middle East" "Gynecological diseases" 676.7881 672 565 815 0.0860738381714817 0.0855342745446984 0.0720025796659165 0.103605386451222 0.00642751404232513 657363.689 FALSE
"108" "North Africa and Middle East" "Hemoglobinopathies and hemolytic anemias" 22.7733634311512 21 1 53 0.00283750657563364 0.00267584097859327 0.000123708793771354 0.00655729436884936 0.0104312945657228 1066843.92 FALSE
"97" "North Africa and Middle East" "Hepatitis" 69.9201 68 43 107 0.00879391253276455 0.00857389703010102 0.00538036765606966 0.0133653020295095 0.00331099364269009 338626.564 FALSE
"89" "North Africa and Middle East" "HIV/AIDS" 45.317 45 30 64 0.0055850100478966 0.0055289810761937 0.00375744187242147 0.00786548277472769 0.00278923664250562 285264.7037 FALSE
"98" "North Africa and Middle East" "Leprosy" 5.70734184561811 5 0 19 0.000712422454172939 0.000615195326843834 0 0.0023446736949709 3.34863128992032e-07 34.2475894 FALSE
"91" "North Africa and Middle East" "Malaria" 2.71191357407222 2 0 12 0.000338470967143165 0.000243842965130456 0 0.00150651575729514 0.00486365072400988 497422.076543 TRUE
"93" "North Africa and Middle East" "Maternal disorders" 433.5935 434 300 570.025 0.0546472947445802 0.0545869528915676 0.0379810945496496 0.0714574365271325 0.00416815534486762 426291.40221 FALSE
"105" "North Africa and Middle East" "Mental and behavioral disorders" 988.5052 989 915.975 1061.025 0.126553214501492 0.126544770953394 0.11695786016179 0.136316746362549 0.121703189242712 12446998.4689 FALSE
"109" "North Africa and Middle East" "Musculoskeletal disorders" 612.8216 612 540 690 0.0771998855286273 0.0770591207680647 0.0680823822704326 0.0870508921423046 0.0881976632053251 9020274.53601 FALSE
"92" "North Africa and Middle East" "Neglected tropical diseases excluding malaria" 44.9067 42 27 77 0.00562732827647386 0.00529434009832346 0.0033957836388354 0.00972675815928048 0.00767065944383169 784504.39094425 FALSE
"94" "North Africa and Middle East" "Neonatal disorders" 210.818109054527 196 96 412 0.0265239042461681 0.0246928899367167 0.0121243967594363 0.0515236988399671 0.10056944347638 10285578.519 FALSE
"99" "North Africa and Middle East" "Neoplasms" 618.9186 620 569 665 0.0708593324257164 0.0709710622710623 0.0652074247626934 0.0761883665280973 0.0607236423399148 6210413.1201 FALSE
"104" "North Africa and Middle East" "Neurological disorders" 594.4316 593.5 512 682 0.0763107513228733 0.0761530597731694 0.0657023714671347 0.0877602065409004 0.0292791254927653 2994475.5963 FALSE
"95" "North Africa and Middle East" "Nutritional deficiencies" 119.2597 116 57 199 0.0149748478236055 0.0145449627172865 0.00720391757324914 0.0250380583542018 0.0412117771274257 4214868.4023614 FALSE
"113" "North Africa and Middle East" "Oral disorders" 345.9989 309 195 721.025 0.0434559997498668 0.0389618012089241 0.0247034063238149 0.0899663825417425 0.0079897291171716 817136.73 FALSE
"112" "North Africa and Middle East" "Sense organ diseases" 314.5308 313 263 380 0.0399952920523999 0.0397496081504702 0.0333209331663756 0.0483609066088801 0.0176250887362016 1802577.68 FALSE
"96" "North Africa and Middle East" "Sexually transmitted diseases excluding HIV" 152.824852466318 50 4 886 0.0179761449582053 0.00623441396508728 0.000512820816264783 0.107632980483409 0.00308996328795197 316021.039 FALSE
"111" "North Africa and Middle East" "Skin and subcutaneous diseases" 424.3376 417 336 551.025 0.0546746387247567 0.0537556227316272 0.0432905675929341 0.0708936577692602 0.020203179425382 2066247.77 FALSE
"114" "North Africa and Middle East" "Sudden infant death syndrome" 0.641653905053599 0 0 4.69999999999993 8.0078168789347e-05 0 0 0.000580751553830394 0.00065102482657913 66582.5199 FALSE
"88" "North Africa and Middle East" "Tuberculosis" 17.447225025227 17 4 32 0.0021744022706175 0.00216698534098152 0.000515517172823815 0.00397093290320902 0.00856929432487387 876410.832 TRUE
"129" "South Asia" "Cardiovascular and circulatory diseases" 448.7852 447 388 516 0.101405593237281 0.10115896947806 0.0878685723520756 0.116290482485129 0.0923434700901243 56395260.4558 FALSE
"130" "South Asia" "Chronic respiratory diseases" 232.183 232 204 261 0.0529423454535041 0.0528987219531632 0.0465170073257147 0.0597918275302087 0.0637141611320367 38910999.427 FALSE
"131" "South Asia" "Cirrhosis of the liver" 80.2839851955587 81 41 116 0.0181879072657707 0.0183142100617829 0.00924306758352468 0.0263838746923997 0.0126878877054454 7748644.61 FALSE
"139" "South Asia" "Congenital anomalies" 12.7298294144767 12 0 30 0.00282623819087882 0.00266992994738257 0 0.00661485160657346 0.0210283123049935 12842241.56 TRUE
"135" "South Asia" "Diabetes, urinary diseases and male infertility" 675.9782 676 606 746 0.152763861078581 0.152740603492309 0.137899538131684 0.16841391577877 0.0300464227115865 18349709.329 FALSE
"119" "South Asia" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 308.2606 309 255 360 0.070241126024192 0.0702940231386936 0.0581420418941535 0.0822312970852849 0.214266213115124 130854936.2907 TRUE
"132" "South Asia" "Digestive diseases (except cirrhosis)" 391.5869 386 319 496 0.0911573027388426 0.090009425070688 0.0744080745276537 0.11500485285447 0.0174174973525445 10637073.7284 FALSE
"136" "South Asia" "Gynecological diseases" 138.3338 133 100 210 0.0316347537003459 0.0303239943078847 0.0229089980086049 0.0481785418473505 0.00435699777444944 2660870.596 FALSE
"137" "South Asia" "Hemoglobinopathies and hemolytic anemias" 6.72746425884123 6 0 17 0.0015002562875516 0.00133600534402138 0 0.00392012242899951 0.00638720785813316 3900744.15 FALSE
"126" "South Asia" "Hepatitis" 61.9715 62 39 86 0.0139610131308825 0.013913625809644 0.00888382687927107 0.0192669719356531 0.0129629215748385 7916611.08 FALSE
"118" "South Asia" "HIV/AIDS" 60.4351 61 44.975 75 0.0133494389408254 0.0134007029876977 0.00983648061547259 0.0166404489851005 0.0152997523014828 9343741.524 FALSE
"127" "South Asia" "Leprosy" 7.55194428322693 7 0 18 0.00168989561151228 0.0015932627951884 0 0.00394862416572365 9.2273906647039e-06 5635.277723 FALSE
"120" "South Asia" "Malaria" 41.075822746824 42 24 52 0.00918967271791638 0.00944956295771321 0.0054868430335097 0.0115870143159036 0.00944086133207491 5765646.81 FALSE
"122" "South Asia" "Maternal disorders" 135.4509 132 85 203 0.0305655789429226 0.0298913043478261 0.0192389677441055 0.0454440117602849 0.0107832949399042 6585487.053 FALSE
"134" "South Asia" "Mental and behavioral disorders" 306.7366 306 276 343 0.0705143311148858 0.0703346481146938 0.0630299514569872 0.0790266688268463 0.0587609819540591 35886033.725 FALSE
"138" "South Asia" "Musculoskeletal disorders" 355.6355 356 312 401 0.0803165115870893 0.0802504063307776 0.0705393010729847 0.0905651139744459 0.0452783592893539 27652034.9803 FALSE
"121" "South Asia" "Neglected tropical diseases excluding malaria" 52.0166 52 35 71 0.0116741618300438 0.0115748522161554 0.00784991708044957 0.0160453519057594 0.0144649401150392 8833911.747837 FALSE
"123" "South Asia" "Neonatal disorders" 108.194997498749 99 46 222 0.0243736330651701 0.0224064530584808 0.0104519473411052 0.0492999130924897 0.165191660333951 100884520.59 TRUE
"128" "South Asia" "Neoplasms" 589.4721 590 542 631 0.1214734798807 0.121666319820702 0.112237910074429 0.129814674980896 0.0374291115595851 22858405.613 FALSE
"133" "South Asia" "Neurological disorders" 245.1839 244 205 292 0.0563161783493986 0.0560661712749403 0.0468607718698007 0.0668593395786513 0.0337182716943239 20592151.3721 FALSE
"124" "South Asia" "Nutritional deficiencies" 123.252 123 63 182.025 0.0278299850347017 0.0278985005972138 0.0143984685923557 0.0410510066886609 0.0551808801713907 33699622.79313 FALSE
"142" "South Asia" "Oral disorders" 197.2379 177 111 410 0.0443931158331592 0.0398942729898394 0.0253249626812672 0.0912269319801114 0.00528736932906622 3229059.62 FALSE
"141" "South Asia" "Sense organ diseases" 247.3217 247 209 288 0.0564129190732319 0.0562830232023892 0.0477014755176584 0.0658738481082989 0.0146149967375453 8925553.12 FALSE
"125" "South Asia" "Sexually transmitted diseases excluding HIV" 77.8730653602049 20 1 480 0.0163356967702881 0.00437828371278459 0.000224341001140151 0.104932462710454 0.0057229113241059 3495050.32 FALSE
"140" "South Asia" "Skin and subcutaneous diseases" 316.3077 313 258 392 0.0730075495000391 0.0723302663718879 0.05950471615557 0.0899672554373792 0.0138540441445633 8460830.28 FALSE
"143" "South Asia" "Sudden infant death syndrome" 0.361408882082695 0 0 2.69999999999993 8.08545522798422e-05 0 0 0.000597366809552958 0.00100672680391625 614820.087 FALSE
"117" "South Asia" "Tuberculosis" 38.2599394550959 40 11 57 0.00854900541880527 0.0089375489887719 0.00244993075094331 0.0126436781609195 0.0387455189596979 23662351.34 TRUE
"158" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" 1197.1806 1197 1065 1333 0.1387777802325 0.138701179704501 0.123957508680723 0.154044910950282 0.177268647266155 81711419.5221 FALSE
"159" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" 428.3887 428 380 478 0.0499952348434974 0.0499378598115152 0.0442890308816916 0.0561895428164138 0.0689751282016789 31793866.11224 FALSE
"160" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" 165.196258877663 167 85 235.1 0.0191713600319543 0.0193401592718999 0.00989721915908235 0.0272885401638284 0.0159846270125831 7368063.0155 FALSE
"168" "Southeast Asia, East Asia and Oceania" "Congenital anomalies" 31.6315122176118 30 2 71 0.00361102273262323 0.0034698579775598 0.00022657113044578 0.00804299267963627 0.0217798601359548 10039357.304 TRUE
"164" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" 1199.663 1199 1081 1325 0.138389283776273 0.138216565054419 0.125213406013917 0.152455005055612 0.0457999042827754 21111320.30755 FALSE
"148" "Southeast Asia, East Asia and Oceania" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" 399.5355 399 325 479 0.0466129895792798 0.0465571459472298 0.0379228742253368 0.0559036637834547 0.081026373738974 37348849.438667 FALSE
"161" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" 730.4263 719 598 922 0.0870205010869521 0.085769163694504 0.0713540849607007 0.109292332327944 0.014110808231362 6504332.20409 FALSE
