"Region" "Disease" "Prop_all_RCTs_low" "Prop_all_RCTs_med" "Prop_all_RCTs_up" "Prop_all_Patients_low" "Prop_all_Patients_med" "Prop_all_Patients_up" "Prop_NHI_RCTs_low" "Prop_NHI_RCTs_med" "Prop_NHI_RCTs_up" "Prop_NHI_Patients_low" "Prop_NHI_Patients_med" "Prop_NHI_Patients_up"
"13" "North Africa and Middle East" "Hepatitis" "6.36704119850187" "7.54022576174707" "8.83140356533375" "0.849402224613828" "1.56113065466865" "2.66882438856488" "14.3292027744776" "17.0995670995671" "20.702421008549" "1.3862996863802" "2.7424919688019" "6.26107737721408"
"14" "South Asia" "Hepatitis" "5.68418506968752" "6.73684210526316" "7.77669768472361" "1.89857399966596" "3.73754513672861" "12.7241645363783" "13.1925840678156" "15.2971270389486" "17.5399632338249" "3.21487639768411" "6.55051199401472" "23.7174434666517"
"15" "Southeast Asia, East Asia and Oceania" "Hepatitis" "17.5603191119277" "20.7744788321104" "23.3696967646882" "14.4464410611841" "40.7810264901142" "52.7079532150111" "42.5484508916548" "47.1251652934595" "50.9316770186335" "31.5549756661782" "72.3748264273415" "82.0178359351253"
"16" "Sub-Saharian Africa" "Hepatitis" "0.657030223390276" "1.17233294255569" "1.86917211617378" "0.25929615006044" "0.856049999602567" "26.3309062833196" "1.46627565982405" "2.66075388026608" "4.4118601986249" "0.449680921068619" "1.64959661296014" "43.5142397852862"
"17" "Central Europe, Eastern Europe, and Central Asia" "Neoplasms" "10.0024720509985" "10.2469133434454" "10.4826107854898" "2.15226005974082" "2.63818181197099" "4.18999862604254" "31.2692435975196" "31.9366512025912" "32.5905502981091" "14.0322003789805" "19.5796453767535" "24.5627159586296"
"18" "High-income" "Neoplasms" "78.6862087079175" "79.0240412040108" "79.357615798483" "78.3349710106316" "86.6021423267604" "89.1457954590921" NA NA NA NA NA NA
"19" "Latin America and Caribbean" "Neoplasms" "4.76521401755693" "4.93541488645527" "5.1063295800103" "0.656595023656501" "0.754671135570187" "1.22143559052608" "14.8731537773235" "15.3806847215125" "15.8876170143926" "4.10838013523893" "5.62162482213939" "7.28994466406797"
"20" "Non-HI" "Neoplasms" "31.7115445990379" "32.0884111961891" "32.4504931344827" "10.8542045409079" "13.3978576732396" "21.6650289893684" NA NA NA NA NA NA
"21" "North Africa and Middle East" "Neoplasms" "4.96832528797025" "5.15672792746545" "5.35058384245642" "0.51883306350208" "0.692091234368523" "1.11274158990835" "15.5220736872455" "16.0740745799654" "16.637794121309" "3.52945885703653" "5.13755210256817" "6.57017806644789"
"22" "South Asia" "Neoplasms" "4.73921920790806" "4.91459377225123" "5.08668022960849" "0.800248387007777" "1.14321209363704" "2.21323408164592" "14.8107912513185" "15.3178452897626" "15.8159351039524" "5.5354405947091" "8.46998303435371" "14.5035103396858"
"23" "Southeast Asia, East Asia and Oceania" "Neoplasms" "16.3616976170334" "16.6653107711526" "16.9644434735298" "5.28830834578796" "7.81866743145937" "12.4690735112056" "51.179934310907" "51.9452348835414" "52.7006434651681" "41.6449986760565" "58.029416234357" "61.8471936610181"
"24" "Sub-Saharian Africa" "Neoplasms" "1.56545739141577" "1.67513093351688" "1.77877425936493" "0.277192658058316" "0.426167267887207" "4.12438124779924" "4.89420420647965" "5.22261562749387" "5.53607633158802" "2.04120053062532" "3.14914272462693" "24.7922807259886"
"25" "Central Europe, Eastern Europe, and Central Asia" "Cardiovascular and circulatory diseases" "6.86849493397653" "7.18407554894647" "7.50608912246076" "1.41909182139284" "6.51660591099057" "7.47130212888405" "21.598366027778" "22.5184947234417" "23.4707295728952" "1.63601255675754" "18.6169975178539" "23.2458533575095"
"26" "High-income" "Cardiovascular and circulatory diseases" "73.9997918918103" "74.5453722822287" "75.0873119259328" "15.2823047907657" "64.5419497759724" "74.1047897524832" NA NA NA NA NA NA
"27" "Latin America and Caribbean" "Cardiovascular and circulatory diseases" "4.50227477156655" "4.75986277210709" "5.02648989236071" "0.553845646739861" "2.26635308742635" "3.17236711650714" "14.151423715454" "14.9194687764905" "15.7100640422607" "0.632156786879257" "6.51228139159992" "9.0944983904067"
"28" "Non-HI" "Cardiovascular and circulatory diseases" "31.3360909935686" "31.9026802140989" "32.4887625119351" "25.8952102475168" "35.4580502240276" "84.7176952092343" NA NA NA NA NA NA
"29" "North Africa and Middle East" "Cardiovascular and circulatory diseases" "8.13045789736966" "8.49419160050587" "8.85660731021556" "0.690258964387059" "3.15405576159826" "3.70830570287968" "25.6105371709241" "26.6260218441963" "27.6320122781628" "0.794382573693907" "8.71544705975382" "11.4682718551115"
"30" "South Asia" "Cardiovascular and circulatory diseases" "3.9288361749444" "4.20303488594518" "4.48448976200861" "1.4274245048388" "5.7176559398922" "10.2435221114593" "12.3624461360244" "13.1736545449297" "14.0066282578503" "2.27455977810934" "16.2717214033284" "27.4889956905593"
"31" "Southeast Asia, East Asia and Oceania" "Cardiovascular and circulatory diseases" "10.8178334068904" "11.2121212121212" "11.6109402480336" "8.63417873967482" "12.7207675266776" "78.9216636340927" "34.0090075268741" "35.1535836177474" "36.268031863029" "21.8450071629719" "36.7116341500391" "91.6493595089288"
"32" "Sub-Saharian Africa" "Cardiovascular and circulatory diseases" "1.3646916680095" "1.55253581601296" "1.74008799004473" "1.08172623336232" "3.44294329788721" "22.7005439232386" "4.2923521691033" "4.86795006303836" "5.43599122208642" "2.81040888015685" "10.0198883121602" "48.1132875376323"
"33" "Central Europe, Eastern Europe, and Central Asia" "Chronic respiratory diseases" "11.3564040312902" "11.9349196417589" "12.415828458818" "7.32123822265974" "9.73852462385308" "11.5387571695263" "35.7999919253906" "37.61153054221" "39.0401391451113" "18.8056696838071" "38.9682882407642" "44.167418947846"
"34" "High-income" "Chronic respiratory diseases" "78.3996437170432" "79.0942534618549" "79.6838282418287" "58.9872163779666" "74.7180708851267" "77.9690555830743" NA NA NA NA NA NA
"35" "Latin America and Caribbean" "Chronic respiratory diseases" "5.83480092778434" "6.1468334516114" "6.45293382119311" "1.89918544329978" "2.50095945861086" "3.24606477446093" "18.4060628829961" "19.3652849740933" "20.2730412230747" "4.87922286478134" "9.97335701969442" "12.294584318816"
"36" "Non-HI" "Chronic respiratory diseases" "31.1417235705269" "31.7470810569597" "32.3605982235669" "22.0309444169255" "25.2819291148731" "41.0127836220333" NA NA NA NA NA NA
"37" "North Africa and Middle East" "Chronic respiratory diseases" "6.29398410932033" "6.65375926509029" "7.07739772764964" "1.22460831456285" "1.58911269362216" "1.96799176260537" "19.9333277591973" "20.9645010046885" "22.1719880956755" "3.20948708672981" "6.31590773718642" "7.45089772322878"
"38" "South Asia" "Chronic respiratory diseases" "4.57460547713295" "4.8586387434555" "5.14611555174652" "1.48210819181631" "1.9438813396108" "6.25615461402116" "14.4628099173554" "15.3061224489796" "16.1504780697259" "4.13810635650114" "7.72297801796403" "21.3746882048635"
"39" "Southeast Asia, East Asia and Oceania" "Chronic respiratory diseases" "8.600960751604" "8.96846429171971" "9.36556979548482" "4.19210927136184" "5.26348191559478" "8.8697843542283" "27.212912734731" "28.2537606278613" "29.3356905768253" "12.4807107548563" "20.9320207256303" "31.298826657988"
"40" "Sub-Saharian Africa" "Chronic respiratory diseases" "2.54289817787418" "2.75467912152358" "2.96195033037138" "1.33182314958319" "3.8199678638607" "17.5726041142456" "8.03857425725225" "8.67502416204556" "9.31722128261706" "5.66207256579618" "15.1501430683203" "48.2794890460263"
"41" "Central Europe, Eastern Europe, and Central Asia" "Cirrhosis of the liver" "5.16716058763931" "6.32658065678454" "7.57584327437269" "0.969515787509985" "2.55382083990852" "5.57568250770833" "13.0718025846702" "15.9420289855072" "18.9369399979865" "1.54970176179659" "4.76550105241395" "15.5106592931099"
"42" "High-income" "Cirrhosis of the liver" "63.896320551875" "66.5580433466778" "69.1956491279574" "24.440966245699" "45.3876278386095" "73.5305061067999" NA NA NA NA NA NA
"43" "Latin America and Caribbean" "Cirrhosis of the liver" "2.94783387039026" "3.91005117852552" "4.94186810701098" "0.476785680733319" "1.1577307907595" "3.55939874008812" "7.42184049249117" "9.85074626865672" "12.4153874259859" "0.754556229401349" "2.19951639829985" "8.19114015754069"
"44" "Non-HI" "Cirrhosis of the liver" "36.977553860366" "39.7394136807818" "42.4920906277052" "26.4694938932001" "54.6123721613906" "75.559033754301" NA NA NA NA NA NA
"45" "North Africa and Middle East" "Cirrhosis of the liver" "7.85396782189686" "9.26563549444905" "10.7219447940847" "1.48794637331243" "9.87241691715301" "26.9733016021952" "19.9535826715903" "23.3455882352941" "26.7752005103901" "2.55201353600338" "17.9538744713485" "54.2566502565861"
"46" "South Asia" "Cirrhosis of the liver" "6.30286052316065" "7.6271186440678" "8.93666524580847" "1.35965588751321" "3.1367790903839" "15.3774992772653" "16.172303659122" "19.1943127962085" "22.1238938053097" "2.22841103060413" "5.95831518780854" "29.517811909408"
"47" "Southeast Asia, East Asia and Oceania" "Cirrhosis of the liver" "13.6417458471826" "15.6819010675685" "17.7500064499484" "8.35466936518568" "31.3905562578911" "56.1701908664471" "35.4285355348169" "39.4474839681643" "43.3846153846154" "17.174660643931" "61.1861030545391" "86.6655068774275"
"48" "Sub-Saharian Africa" "Cirrhosis of the liver" "0.43956043956044" "0.964630225080386" "1.64141845956141" "0.134581718010037" "1.26910591089555" "32.5043720419461" "1.0989010989011" "2.42718446601942" "4.1826265710165" "0.265379935945295" "2.52117154481903" "50.0893076540305"
"49" "Central Europe, Eastern Europe, and Central Asia" "Digestive diseases (except cirrhosis)" "5.85592785138753" "6.20553309922409" "6.59141127780628" "1.59361753396448" "3.9832602263521" "5.26045860594893" "15.1765780356019" "16.1857668768184" "17.326181336922" "3.45138220953787" "9.3187165204727" "13.1341450052916"
"50" "High-income" "Digestive diseases (except cirrhosis)" "65.860827435707" "67.2340680930543" "68.8866392804859" "31.7939542055559" "56.0680382161714" "73.1492757672539" NA NA NA NA NA NA
"51" "Latin America and Caribbean" "Digestive diseases (except cirrhosis)" "4.18129069023974" "4.49739639334909" "4.81496946644395" "0.907654956434883" "2.27679857398621" "4.16282706973685" "10.8223424882895" "11.7206490482554" "12.7159328044432" "2.0259795072084" "5.37180683351978" "9.55986826744053"
"52" "Non-HI" "Digestive diseases (except cirrhosis)" "36.869045611551" "38.3789453562991" "39.6439221939449" "26.850724232746" "43.9319617838287" "68.2060457944441" NA NA NA NA NA NA
"53" "North Africa and Middle East" "Digestive diseases (except cirrhosis)" "11.7202495938747" "12.5451720612825" "13.2880913012093" "1.57302393697315" "4.00642029918037" "5.22337789956063" "31.3924783351839" "32.687139600336" "33.8791717572412" "3.39260522514901" "9.48810512911813" "12.9597195442718"
"54" "South Asia" "Digestive diseases (except cirrhosis)" "5.36230201090563" "5.70952939122628" "6.06268435939161" "2.06408875940892" "5.10313091628105" "15.4067693851091" "14.0213787448695" "14.8902571969157" "15.7951908476572" "4.40444305783745" "12.1397851144707" "32.3652430301657"
"55" "Southeast Asia, East Asia and Oceania" "Digestive diseases (except cirrhosis)" "10.1635250143166" "10.6550391019183" "11.1290735775603" "5.91652006130371" "11.2856420883064" "30.164576129212" "26.6584221483956" "27.7910685805423" "28.9592760180996" "12.7218727997378" "26.8383803936088" "56.1307035609871"
"56" "Sub-Saharian Africa" "Digestive diseases (except cirrhosis)" "1.74123432057664" "1.97848184059787" "2.22994091070543" "4.83759608978515" "13.9927829998646" "39.5853140532436" "4.49611461188505" "5.15737580583997" "5.92038164049403" "14.2689398714237" "32.9559775199237" "66.5405394427996"
"57" "Central Europe, Eastern Europe, and Central Asia" "Neurological disorders" "6.98020369347571" "7.36525390292325" "7.74450896105129" "2.5848293020296" "5.03136823309094" "6.27605199524153" "24.3517831598274" "25.7175337114695" "27.020365082918" "6.6704460672384" "20.077596526913" "25.6001465602711"
"58" "High-income" "Neurological disorders" "77.8602786666699" "78.6522004889976" "79.3984999670827" "48.4138451151423" "74.1426038662071" "81.2729412890124" NA NA NA NA NA NA
"59" "Latin America and Caribbean" "Neurological disorders" "3.94713544995819" "4.249101105981" "4.56212514335818" "0.827317987947397" "1.61819434398249" "3.35096643265989" "13.8401341896408" "14.8232611174458" "15.8576147526857" "2.05611274073048" "6.46444370912705" "11.9938661221425"
"60" "Non-HI" "Neurological disorders" "27.892863096846" "28.6508688939006" "29.4347519110632" "18.7270587109874" "25.8573961337928" "51.5861548848577" NA NA NA NA NA NA
"61" "North Africa and Middle East" "Neurological disorders" "8.85683263533426" "9.28571428571429" "9.70285268605385" "1.55599953769904" "3.03305706718463" "3.74498018115208" "31.0222626578001" "32.4074074074074" "33.7291088329519" "3.9916804443866" "12.0815454257096" "15.4658251927508"
"62" "South Asia" "Neurological disorders" "3.5034519388542" "3.81886893726154" "4.16409574950117" "1.6495031789583" "3.94079472081776" "14.6205525134643" "12.3243197615173" "13.3367795813944" "14.4030894801361" "4.63153334125219" "15.848028609258" "43.6623971918402"
"63" "Southeast Asia, East Asia and Oceania" "Neurological disorders" "6.97673503021425" "7.42378409953346" "7.90163369990022" "4.01739247256184" "6.93582407539753" "20.1617692428184" "24.5834791412257" "25.920245398773" "27.2937632996403" "10.1545269267468" "28.0709203767877" "56.220035295044"
"64" "Sub-Saharian Africa" "Neurological disorders" "1.34137912422373" "1.5481603257692" "1.77687735951156" "1.07471880514481" "2.98412382177411" "32.0542210956558" "4.70809579711146" "5.40254237288136" "6.15299542786915" "4.3630954959553" "12.0095495605655" "67.4263851483758"
"65" "Central Europe, Eastern Europe, and Central Asia" "Mental and behavioral disorders" "4.07192596259199" "4.28502693190576" "4.52093312325545" "2.3283081424157" "3.1498684132704" "3.97729564743915" "15.9582880434783" "16.6806899676467" "17.4456249344204" "7.77199127709662" "17.4560759538974" "20.615336126465"
"66" "High-income" "Mental and behavioral disorders" "78.1328751925686" "78.610592012613" "79.0360736077767" "66.2646270420171" "81.6799419560774" "84.5077736181607" NA NA NA NA NA NA
"67" "Latin America and Caribbean" "Mental and behavioral disorders" "3.05520366203695" "3.23681547294613" "3.43010987352021" "1.04020443497258" "1.61072990058407" "2.35596415121731" "11.9746104827678" "12.5980990612327" "13.2571300993598" "3.89018268007568" "8.89897107193385" "11.9788669032788"
"68" "Non-HI" "Mental and behavioral disorders" "25.1864368890348" "25.6873491444928" "26.2611963771171" "15.4922263818391" "18.3200580439227" "33.7353729579829" NA NA NA NA NA NA
"69" "North Africa and Middle East" "Mental and behavioral disorders" "10.2855247524264" "10.5717821574079" "10.8450434297667" "2.00103214698317" "2.66680445441303" "3.33149225989479" "39.9171578227008" "41.1552346570397" "42.2322125809189" "6.57934778373914" "14.8342541041209" "17.2984648495361"
"70" "South Asia" "Mental and behavioral disorders" "3.08477306273761" "3.27565231229203" "3.49573054786513" "1.38738584262669" "2.03123883384652" "7.56130991647895" "12.1026762768937" "12.7548980407837" "13.4607953344974" "5.03019268229439" "11.2957558521357" "31.687839022165"
"71" "Southeast Asia, East Asia and Oceania" "Mental and behavioral disorders" "5.8881996052033" "6.16639540687786" "6.48493388062084" "4.03453063074311" "5.85978602541205" "11.7359159106969" "23.1292517006803" "24.0106629498109" "24.9323636117809" "15.6790345356159" "32.489766947034" "49.1109973153913"
"72" "Sub-Saharian Africa" "Mental and behavioral disorders" "1.31678261499643" "1.43981138234618" "1.57219338798859" "1.69637775332882" "2.35337936154206" "18.547843813239" "5.15018551473068" "5.60279256867462" "6.07916185396489" "8.49167934488639" "12.923675953846" "57.2085067747829"
"73" "Central Europe, Eastern Europe, and Central Asia" "Diabetes, urinary diseases and male infertility" "7.61964058943812" "7.91831048203021" "8.22086510573521" "2.5169104937684" "4.17818132192651" "5.46913462297272" "22.8726836234058" "23.7003623163838" "24.5264553918825" "5.96001109456239" "10.7847136443802" "17.4231969268127"
"74" "High-income" "Diabetes, urinary diseases and male infertility" "74.3438960475075" "74.8402774578743" "75.3101201671669" "43.6834176237923" "61.4062592630801" "73.4929660110167" NA NA NA NA NA NA
"75" "Latin America and Caribbean" "Diabetes, urinary diseases and male infertility" "5.75370632594724" "6.01915275042271" "6.2759981141502" "1.13063105324412" "1.92793980368749" "2.77902091348401" "17.2710031748486" "18.0116200535618" "18.7287102954346" "2.69094472552071" "4.98530999379594" "8.28402814662026"
"76" "Non-HI" "Diabetes, urinary diseases and male infertility" "32.9114788257503" "33.4123984695828" "33.9284120335858" "26.5070339889833" "38.5937407369199" "56.3165823762077" NA NA NA NA NA NA
"77" "North Africa and Middle East" "Diabetes, urinary diseases and male infertility" "9.80677020111385" "10.128007198476" "10.4618066977038" "1.44985814854179" "2.91352593930395" "3.87713737853044" "29.4613611825002" "30.3176865770765" "31.1867553117739" "3.37052815804655" "7.50066071019571" "11.7321819408097"
"78" "South Asia" "Diabetes, urinary diseases and male infertility" "5.5268056469861" "5.777301352471" "6.03377375269241" "1.56179471063453" "2.87928181140097" "7.18223753846867" "16.5905792035746" "17.2885739089786" "18.0033026279144" "3.63663199868155" "7.68449712100461" "18.5867540569394"
"79" "Southeast Asia, East Asia and Oceania" "Diabetes, urinary diseases and male infertility" "9.9318623872174" "10.2561927359971" "10.5789194458505" "8.54917693228434" "18.7802462453202" "27.0877656763117" "29.8336595648573" "30.6949302638958" "31.5607596675793" "25.3315242927904" "48.2428120918112" "64.4053021580626"
"80" "Sub-Saharian Africa" "Diabetes, urinary diseases and male infertility" "2.07153629578014" "2.23398219571084" "2.40028706294144" "1.22538438667817" "7.78802018313718" "22.6521329196774" "6.2114458401339" "6.68620138518913" "7.17017269399411" "3.03315352575557" "19.9628230077928" "48.2773956329554"
"81" "Central Europe, Eastern Europe, and Central Asia" "HIV/AIDS" "4.18310970797159" "4.82305297417838" "5.51636536081693" "0.745730289409974" "1.35564945546566" "2.28744259504577" "10.3727714748784" "11.9089316987741" "13.5983682008368" "1.01335309201953" "1.84423706232445" "3.64367598618411"
"82" "High-income" "HIV/AIDS" "64.9122807017544" "66.3431401987279" "67.8368377436935" "20.6285392562304" "26.4400269005573" "41.9167695745296" NA NA NA NA NA NA
"83" "Latin America and Caribbean" "HIV/AIDS" "5.49827622997826" "6.17934416464989" "6.84411947647712" "0.980733696750388" "1.41816152757" "2.37440771365973" "13.6633519456597" "15.2482269503546" "16.8260268054126" "1.32153376896041" "1.92426253477816" "3.79745363910317"
"84" "Non-HI" "HIV/AIDS" "38.9648937394538" "40.5087846861738" "41.9973764262557" "58.0832304254704" "73.5599730994427" "79.3714607437696" NA NA NA NA NA NA
"85" "North Africa and Middle East" "HIV/AIDS" "2.32052211747643" "3.0176882535557" "3.90296338995812" "0.214440741021356" "0.347957479827006" "0.637015815138607" "5.72517376995453" "7.45341614906832" "9.68704592026826" "0.28661135729342" "0.478109833176068" "0.997450735083878"
"86" "South Asia" "HIV/AIDS" "3.48504010058186" "4.05236907730673" "4.67164571661227" "0.911392651114624" "4.96441014715884" "9.39948513688538" "8.63557858376511" "10.0147275405007" "11.5132077352472" "1.24735440186948" "6.64610885700691" "14.7309754191587"
"87" "Southeast Asia, East Asia and Oceania" "HIV/AIDS" "8.12669314652442" "8.94479385045423" "9.76331809488268" "2.48451891705678" "3.97399961677776" "7.3708213928858" "20.2001917226196" "22.0738263346959" "24.050685045774" "3.34166349733148" "5.40238511716942" "11.7570832293321"
"88" "Sub-Saharian Africa" "HIV/AIDS" "19.462062406153" "21.3585862741669" "23.0160157588215" "39.843164844755" "61.7238360501612" "69.2869537802441" "48.7664465946336" "52.6984126984127" "55.8648850697468" "67.6259320211023" "83.9434687706" "90.2704427878518"
"89" "Central Europe, Eastern Europe, and Central Asia" "Gynecological diseases" "2.93762575452716" "3.6658624802578" "4.78989283543691" "0.877906506007696" "1.63238330743002" "3.06093021919183" "5.96130629983947" "7.82339271882262" "11.3281874182888" "1.91594890317322" "4.9629302843488" "9.60020915298749"
"90" "High-income" "Gynecological diseases" "52.7476738630956" "56.5062822355342" "62.6754386963152" "42.4991760198558" "67.2030979528805" "76.8709569917725" NA NA NA NA NA NA
"91" "Latin America and Caribbean" "Gynecological diseases" "3.69642106483128" "4.13877792372348" "4.66051173484098" "0.892940426960099" "1.60592500605104" "3.23441367948305" "7.68638565340329" "8.8445646799393" "10.6858106828597" "1.85136693611174" "4.93594112999202" "9.71922351870085"
"92" "Non-HI" "Gynecological diseases" "41.725023340786" "46.8126774912831" "49.9347563489826" "23.1290430082275" "32.7969020471195" "57.5008239801442" NA NA NA NA NA NA
"93" "North Africa and Middle East" "Gynecological diseases" "19.0974969885238" "24.4474696810614" "27.6923249551167" "3.89829845275765" "7.60434106865151" "10.346198091376" "45.6304009613862" "52.1939953810624" "55.7017647204722" "8.26798935742202" "23.7322524894649" "35.005297166897"
"94" "South Asia" "Gynecological diseases" "4.39113141952101" "4.85037744894891" "5.37915669529038" "1.39995020629042" "5.44215827325966" "16.4524033273005" "9.14924529795795" "10.366899316682" "12.2971600519512" "4.62404915610317" "16.9386462906948" "40.1983105017112"
"95" "Southeast Asia, East Asia and Oceania" "Gynecological diseases" "9.65516572849674" "10.3345868728774" "10.9877499137423" "5.73326121889349" "9.68920200961156" "20.4460053722303" "20.4483952276304" "22.1071624122429" "24.7325430563132" "12.3103181184234" "30.1990726671912" "51.8170453209874"
"96" "Sub-Saharian Africa" "Gynecological diseases" "0.858777601696499" "1.22048845806398" "1.76944082652195" "0.99053623094119" "5.32882303311614" "35.3624164753373" "1.75284837861525" "2.60586319218241" "4.14367366967141" "3.74105219138787" "16.4085939114354" "65.9858687272633"
"97" "Central Europe, Eastern Europe, and Central Asia" "Musculoskeletal disorders" "8.31545587889396" "8.716507755149" "9.10311899591567" "3.39974479317718" "5.50992464835361" "6.96529388801443" "25.3693230805349" "26.4948465529861" "27.5829394964649" "9.72561163311214" "25.8588734798754" "30.3775768418317"
"98" "High-income" "Musculoskeletal disorders" "74.7147629646732" "75.2975304415301" "75.8716956281035" "56.1714737537476" "77.7263427959141" "82.7401028389067" NA NA NA NA NA NA
"99" "Latin America and Caribbean" "Musculoskeletal disorders" "6.72796244109157" "7.09452155480088" "7.45323317130653" "1.73108716543643" "2.92493645305341" "4.25251930205235" "20.4997836069274" "21.5755500207555" "22.5742786725024" "4.99491517034059" "13.4824394261594" "17.8112748321476"
"100" "Non-HI" "Musculoskeletal disorders" "32.2741416427138" "32.8956609586484" "33.5094297759958" "17.2598971610934" "22.2736572040858" "43.8285262462524" NA NA NA NA NA NA
"101" "North Africa and Middle East" "Musculoskeletal disorders" "8.43783703894832" "8.81325787886857" "9.19211883971365" "1.36980371403036" "2.16331207171726" "2.79405848462937" "25.7692218080149" "26.791958041958" "27.8294026059139" "3.84686938176367" "10.1172831045814" "12.2468753424128"
"102" "South Asia" "Musculoskeletal disorders" "4.82416545958275" "5.11634873529437" "5.40894173742215" "1.32000132549122" "2.13398236434821" "10.2313037563467" "14.716964405192" "15.5477796975118" "16.3920376464811" "3.74304164821996" "9.89263007712505" "35.3981993798177"
"103" "Southeast Asia, East Asia and Oceania" "Musculoskeletal disorders" "8.91596909182051" "9.30490178061021" "9.69679012343549" "3.68774398373761" "5.43553256067228" "14.6672114358603" "27.2248485643944" "28.2873926796204" "29.3507817092326" "10.6950589594316" "25.4307834196432" "49.7411159432291"
"104" "Sub-Saharian Africa" "Musculoskeletal disorders" "1.63447192734557" "1.82256584217272" "2.01720771421268" "1.02532964071836" "2.32051934974683" "25.1642527075696" "4.98118465108083" "5.54252655331435" "6.12426945948963" "4.80830253223234" "10.6742547950499" "62.9622604953374"
"105" "Central Europe, Eastern Europe, and Central Asia" "Skin and subcutaneous diseases" "7.17291003569452" "7.7370947361964" "8.27946404873022" "2.04019058049989" "3.40092750909399" "5.68815380802497" "21.1189541746857" "22.5605751385481" "23.9373738869149" "3.42596332909448" "5.67947238423405" "15.9253707250513"
"106" "High-income" "Skin and subcutaneous diseases" "72.875951412624" "73.6898399441279" "74.4905033099079" "28.6531550604866" "40.3594331409556" "67.2847835805187" NA NA NA NA NA NA
"107" "Latin America and Caribbean" "Skin and subcutaneous diseases" "4.27777125717267" "4.66315921679489" "5.06271008754004" "0.966367908604475" "1.92304796308709" "3.63460748983593" "12.5147508802115" "13.595166163142" "14.716759100076" "1.61393059925413" "3.21692645993912" "9.37118246291216"
"108" "Non-HI" "Skin and subcutaneous diseases" "33.3414022705219" "34.2969787010033" "35.2143519697684" "32.7152164194813" "59.6405668590443" "71.3468449395133" NA NA NA NA NA NA
"109" "North Africa and Middle East" "Skin and subcutaneous diseases" "9.03987578090518" "9.57270124742918" "10.1138146897946" "0.992056403161247" "1.60461730242339" "2.77042429399911" "26.4816113339097" "27.9171647628103" "29.3610034078659" "1.6063981724564" "2.69279898258327" "7.58781448546508"
