"Disease" "UI" "RCTs_vs_daly_all_fill" "Patients_vs_daly_all_fill" "RCTs_vs_daly_NHI_fill" "Patients_vs_daly_NHI_fill" "RCTs_vs_death_all_fill" "Patients_vs_death_all_fill" "RCTs_vs_death_NHI_fill" "Patients_vs_death_NHI_fill" "RCTs_vs_yld_all_fill" "Patients_vs_yld_all_fill" "RCTs_vs_yld_NHI_fill" "Patients_vs_yld_NHI_fill" "RCTs_vs_yll_all_fill" "Patients_vs_yll_all_fill" "RCTs_vs_yll_NHI_fill" "Patients_vs_yll_NHI_fill" "RCTs_vs_daly_all_nogap" "Patients_vs_daly_all_nogap" "RCTs_vs_daly_NHI_nogap" "Patients_vs_daly_NHI_nogap" "RCTs_vs_death_all_nogap" "Patients_vs_death_all_nogap" "RCTs_vs_death_NHI_nogap" "Patients_vs_death_NHI_nogap" "RCTs_vs_yld_all_nogap" "Patients_vs_yld_all_nogap" "RCTs_vs_yld_NHI_nogap" "Patients_vs_yld_NHI_nogap" "RCTs_vs_yll_all_nogap" "Patients_vs_yll_all_nogap" "RCTs_vs_yll_NHI_nogap" "Patients_vs_yll_NHI_nogap"
"11" "Neoplasms" "med" 33.5711160732099 55.3940483100439 3.73182332039188 14.2346481157301 27.0982887817481 48.3205515910332 0.877406213854263 11.9300167407964 12.1772284495121 32.4195646040389 0.578801589557584 14.4970191148058 34.0659034282987 55.9159746041689 3.78148905311216 14.2364143986788 4.49437115582294 17.6405258520742 0 0.793808157293282 1.21421177962622 14.1056920906319 0 0.0828741503210548 0 6.2788592305714 0 0 4.72818408871601 17.901361706794 0 0.811047264820026
"12" "Neoplasms" "up" 34.1791993075798 58.8636944550152 4.36458226323919 16.9316537288008 27.706372016118 51.7900326359123 1.41219628477024 14.5884981232971 12.644989547716 35.8842840473508 1.20125753963293 17.4000843333537 34.6739866626686 59.3856207491403 4.41424799595947 16.9329598481245 4.88426745577405 21.1039387206918 0 3.04213778895428 1.60410807957734 17.5672397214742 0 1.69803297293528 0 9.62030324334403 0 1.83768846960652 5.11808038866712 21.3649018677543 0 3.06441168918867
"13" "Cardiovascular and circulatory diseases" "low" 48.5015395290242 46.2614888288823 11.5534653448896 4.32355866198566 43.6147026822904 40.6389701982271 9.74640023825142 5.69278962059107 37.2846732783488 33.3451194205609 14.9791721677463 5.33960692758639 49.3223178888794 47.2062539702219 11.4215699602691 4.58677018139629 11.6655840355889 5.68333850737759 0 0 9.27496768786814 4.31270184863639 0 0 7.52191652826721 1.6027146730503 0 0 12.0967483279573 6.11949251275121 0 0
"14" "Cardiovascular and circulatory diseases" "med" 49.244391171579 50.263324349783 12.6340293111967 9.67483116279273 44.3571260668755 44.4115546929322 11.1027378681655 10.4011965178422 38.0275249209035 37.4832020243626 16.215054943024 10.07142203043 50.0651695314341 51.2001486890074 12.5241653014335 9.97122545701842 12.3150386987612 8.73896116115091 0 0 9.92442235104051 6.79431546474432 0 0 8.05404662172792 4.26660368096572 0.27003942838564 0 12.7462029911296 9.19483810490058 0 0
"15" "Cardiovascular and circulatory diseases" "up" 49.9874728661038 54.3820309255925 13.6978244725269 19.1942433084165 45.1002077614003 48.3410982036588 12.4645170493939 19.5761332566332 38.7706066154284 41.6385146922471 17.4705399301479 19.8758242503968 50.808251225959 55.3137279873266 13.6180636533477 19.3966495763683 12.9522881441424 12.6269071302708 0 5.09179801990824 10.5616717964216 10.5597345184352 0 3.48013590928876 8.57598426310006 8.42176667356029 0.845637322320704 5.10070798654847 13.3834524365108 13.0921824435694 0 5.09633331641852
"16" "Chronic respiratory diseases" "low" 56.5640237272082 59.4305666222831 30.1945348818639 33.2803964989997 57.4201255669882 59.8115626220712 37.3397650503562 41.2657208302917 49.224283933319 53.2647136743921 27.6753875368384 28.6192918153274 61.8379289578465 63.3834041298124 33.3689873205569 37.6360306068284 19.7076716432008 20.0251135459607 3.5326818675384 1.84394563296448 20.8651390096398 22.1425191998231 2.52679500581061 5.33379796205059 15.765639050669 17.608216563941 1.79036986832882 0.98333442940665 22.3446242585199 22.6527535796738 4.62977288122665 3.08321226916022
"17" "Chronic respiratory diseases" "med" 57.1267744179321 65.6316502241839 31.6474399169702 42.8924777304941 57.9828762577121 64.2685792305649 38.6158058824893 53.107985018086 49.9080053155386 60.9865653166581 28.7332515251771 35.1537670608577 62.4006796485705 68.7457948277472 34.8218923556633 48.6591561128139 20.2704223339247 24.6766128841727 4.37703748828467 11.9506788680437 21.3614368798836 27.0258030988004 3.37115062655688 12.1000368968374 16.328389741393 21.8995790301968 2.6395101263526 10.2740200946062 22.9073749492439 27.2237314304972 5.47412850197292 13.0375658372974
"18" "Chronic respiratory diseases" "up" 57.6875830359342 68.5393218294546 33.0712714988923 48.3524008720975 58.5436848757142 66.7976265751974 39.866564148071 58.7066357923534 50.6027144772829 63.8952591078772 29.809847201072 42.1090625616135 62.9614882665726 71.64588813864 36.2457239375853 54.0898645168379 20.8312309519268 27.5037482512351 5.22035001990889 13.8952034842529 21.8401839882174 28.0559157376295 4.2144631581811 17.6182387421869 16.8891983593951 24.791547600411 3.53148159354371 12.5491975556843 23.468183567246 29.8141874658643 6.31744103359713 15.630544564158
"19" "Cirrhosis of the liver" "low" 44.4454768167459 40.6540466991076 17.6538459283355 23.4518368489428 39.9946736849207 37.5161263278084 14.7526309426035 21.8983796993455 44.8102614751816 35.6763959376256 12.1046068858487 16.3046946140205 44.4383928612686 40.7089274436097 17.7774105016776 23.5974481339285 8.66159551996886 11.3173245940949 2.26556635802126 1.13926349557117 6.49578902744592 9.92268680857213 1.29914739164378 0.736966873744074 6.41621822343277 8.83873514013183 1.24425479768615 0 8.71073189274217 11.3540678092949 2.28545158309205 1.18115268000303
"20" "Cirrhosis of the liver" "med" 47.4937343253886 51.3606105260274 20.9268913057033 49.6420038454391 43.0429311935634 47.1741817482087 18.2402952031281 48.1142918005758 47.8585189838243 45.0270596767286 15.1685105914799 41.3633962987291 47.4866503699113 51.4854707742718 21.0555378682283 49.8124993550549 10.3171360992865 20.0099222027404 4.0198157858468 16.5092325850906 8.13780487882368 17.9432436380627 3.05208836423158 15.7092916579592 8.2233444710979 16.4181287480005 2.99969690268323 12.0852584175968 10.382490378328 20.0836318300419 4.03970101091759 16.6042476969447
"21" "Cirrhosis of the liver" "up" 50.5887826461439 62.8120949645713 24.8511518600429 59.9051288982385 46.1379795143188 58.5562295885248 22.5392248913213 58.6307120302668 50.9535673045796 63.2582651347038 18.5452720556798 52.5664968945478 50.5816986906667 62.8049311468065 25.0071580875298 60.0913218801073 12.3897601717701 24.501682731522 5.35577354049768 25.4401954928758 10.2047256480439 22.4249653528643 4.38044699854845 24.5349059679367 10.762739403691 22.2225529043908 4.32798026980155 20.7517076267037 12.4690264072199 24.5667208160215 5.37565876556847 25.5245145091085
"22" "Digestive diseases (except cirrhosis)" "low" 54.734771867489 39.1511122514533 36.4819552328969 12.4091639126332 47.3348637523561 33.1726394717213 31.40367414542 14.5112869286893 42.6081140941774 29.7513564017251 28.135328730414 14.5862020464919 57.0590168360391 41.5344591475103 39.960944362264 14.1264303939459 17.3099450685589 4.67964820414171 7.57544071555923 0 13.0621321029578 3.15965079542339 5.03630017182076 0 10.4240468014565 3.10326052136934 1.06651876226826 0 19.5669864430527 6.08254281963213 9.31493528024276 0
"23" "Digestive diseases (except cirrhosis)" "med" 55.5890578594495 46.2539539512327 37.7559923706137 25.7548370499865 48.1891497443167 40.366989068937 32.6777112831367 26.595882779898 43.4578394748451 37.838357120287 29.9455744046137 25.886612523548 57.9133028279996 48.4982441229362 41.2349814999807 27.846181060431 17.7398384211342 11.7619384499169 8.84947785327597 6.01649065300123 13.4921897245502 10.2041636126813 6.3103373095375 5.48486655546307 11.0504054637294 7.6957433349112 1.82952459692231 0 19.9970440646451 13.210741039672 10.5889724179595 7.21732265464382
"24" "Digestive diseases (except cirrhosis)" "up" 56.4386266634699 53.5933840713691 38.8953099036535 32.7464332328618 49.038718548337 46.2478580649713 33.8170288161765 35.5732977019617 44.3074082788655 42.6662787922159 31.5519520557962 37.9145571427176 58.76287163202 55.9176290399192 42.3742990330205 34.1651613428939 18.1541093946429 14.4285350865253 9.98879538631579 10.0193370380463 13.9064345855636 12.6612681470277 7.44965484257732 9.53683173436969 11.6778237106131 11.909785525064 2.49078579087723 3.21470011455184 20.4110057330811 16.0756565917348 11.7282899509993 11.2201093942251
"25" "Neurological disorders" "low" 51.4200273786957 46.4242174553209 35.0788751432552 14.0055507636006 36.9435086283046 29.1091308977159 47.5341838809811 21.1746027400002 49.0522756988277 45.6244512633993 24.8262059459466 12.684045298971 57.114481126412 48.2224216402503 51.7829054085315 23.3964112239689 17.6986969642755 10.6937352153874 7.48638342125347 0 14.5084346845011 5.4867809064005 13.7140377901164 0 15.0642712039767 9.673526453856 1.6160033155019 0 24.0284632809692 14.2259911381133 15.8383985538916 0
"26" "Neurological disorders" "med" 52.309835243313 55.6672177926137 36.4416113469265 28.7244949811992 37.6897105455953 37.0157517020095 48.8969200846524 39.8521899849195 50.018283622899 54.3166861617351 26.7702540404922 21.5538111441577 57.8606830437027 57.9889920969574 53.1456416122028 42.6775838982825 18.4448988815662 18.0759434234033 8.84911962492476 3.42966885406665 14.9634284893234 13.2008490306734 15.0767739937877 10.1814095376662 15.9266709889245 16.531398980023 2.95385229096284 0.333942650804499 24.4834570857915 22.7073316113041 17.2011347575629 9.57877404315996
"27" "Neurological disorders" "up" 53.122935093847 60.1878109925966 37.7266334810084 38.5409560738863 38.3705260958903 40.9823091986683 50.1819422187343 48.9993283322719 50.9455046399628 58.836519859874 28.5577634517 35.3929251281941 58.5414985939977 62.290446331095 54.4306637462847 52.9706869776263 19.1257144318613 21.8727944928518 10.1341417590067 11.2389774757704 15.3723827290922 15.950143748781 16.3617961278697 18.0373731800952 16.7179117584212 20.1810462031268 4.23854960831762 7.71877065416929 24.8924113255603 25.6225765915197 18.4861568916449 17.6611018087527
"28" "Mental and behavioral disorders" "low" 55.3917728350243 54.4941208650323 26.1240213547375 10.5500850953618 46.8965129631677 44.2318465475424 27.5663596104545 24.6513720542689 55.7039919561549 54.9046374793533 27.3883575935658 11.5484860185821 49.0023914093553 46.2985137321659 29.0386291259736 22.986028887905 18.1704244645442 14.9783407782502 0.139436920338159 0 13.9045556623691 13.7468281857087 3.8645268798429 0.628470850312847 18.8240005309234 15.1280378990916 0.267923167830939 0 15.0097656320626 14.3239652109269 3.35209205674715 0.115738279529632
"29" "Mental and behavioral disorders" "med" 56.1717024095623 60.3952260103988 27.5003926493054 16.5595103318742 47.6764425377056 48.4439427152905 28.6191564563622 28.770581981215 56.4839215306929 60.8521470503637 28.7647288881338 17.3495257623091 49.7823209838932 51.0488571786521 29.9946324345799 27.0508104697987 18.8892701068237 19.5354208324331 0.683135289296911 1.40086392084079 14.6405762271242 15.3254459226438 4.62946184661656 3.68589558217092 19.4520678216886 19.8228255971719 0.969053975886551 1.75311159608078 15.7090690421367 16.1677474689593 4.12335594675739 3.16009609399156
"30" "Mental and behavioral disorders" "up" 56.8163677686879 62.8603138702536 28.7181203747325 27.483914597183 48.3211078968312 50.8955987098488 29.7494087105271 37.6139622471253 57.1285868898184 63.3172349102185 29.9824566135609 28.5922497043044 50.4269863430188 53.5097162582184 30.9062381649143 35.9962700064994 19.5304101651615 21.9593382994228 1.40729702508108 4.85597468107033 15.2827802292332 17.4454878942525 5.35186377078501 8.91792012286139 19.9712233656474 22.2075456378548 1.7942380462316 5.20822235631032 16.3360799078589 18.3552089839273 4.87437433252726 8.31058074881327
"31" "Diabetes, urinary diseases and male infertility" "low" 46.0277999795948 45.5355501454365 18.0524380993458 14.1907530664715 43.6173250177607 41.1291757858619 17.3450344651344 16.8590155071151 36.1502323126828 39.3161678657397 12.1789061587993 6.56259171981639 52.5841922819661 50.1574557422966 21.7551582358194 19.3544132975722 12.1858935362573 8.78946929750548 0 0 10.013117892708 8.15073083655449 0 0 7.33082695916589 4.06636024033304 0 0 14.9930959054214 11.7625505968106 0 0
"32" "Diabetes, urinary diseases and male infertility" "med" 46.6226102228063 50.3947127458759 19.1952093082041 22.5996490605631 44.2121352609722 46.1713000471619 18.4878056739927 25.2853471629912 36.8991286405122 43.5450797875989 13.2870567711582 12.7074900472153 53.1790025251775 55.4024509787626 22.6311694250108 28.5251805616732 12.6587199221981 12.6865975482307 0 2.78716838425007 10.4859442786488 11.9456631090064 0 2.66023740850078 7.80365334510663 7.50715884055132 0 0 15.4659222913621 16.1634268233041 0.373478452578837 4.92463627674286
"33" "Diabetes, urinary diseases and male infertility" "up" 47.2123676009602 54.1169882480218 20.3507710783264 28.2259786231259 44.8018926391261 49.8787920467676 19.6433674441149 30.7791621864363 37.6446045686936 47.1244382441035 14.4352460604431 19.7686207420502 53.7687599033315 59.1099429783683 23.5477531377045 34.7058970680053 13.125321171956 15.8154236811867 0 6.10361102620783 10.9525455284068 14.6153117504623 0 6.04538899141593 8.27025459486461 10.6299565600334 0 2.34210029024212 15.9325235411201 19.0820774276879 0.849359184117649 8.48564259148782
"34" "HIV/AIDS" "low" 59.0973305361288 27.3569881955462 21.8844547299993 1.47838725961019 57.6346910426312 27.1686621672699 20.2866103349333 1.98448993397573 52.6011195834273 24.2809731770169 17.279644667065 2.95814651485924 59.4311281743479 27.5103627802323 22.2652145487882 1.40013155077833 15.998648856131 0 0 0 15.2658978693625 0 0 0 12.7491121397605 0 0 0 16.1671644296168 0 0 0
"35" "HIV/AIDS" "med" 60.7893906222385 32.6383958229649 24.9486508059916 3.26191849879356 59.326751128741 32.4242987023175 23.3782102111827 3.91910771096557 54.2964713257011 29.5444324983399 20.4206865052007 10.0373378590291 61.1231882604576 32.806529847252 25.3466060790149 3.40433455108214 17.6912711519577 0.200550716002687 0 0 16.9587079672295 0.391556229143669 0 0 14.4411722258703 1.7298271559174 0 0 17.8591619690156 0.189936020996685 0 0
"36" "HIV/AIDS" "up" 62.7434540444864 44.7502094889581 28.8031850759323 13.7596006561389 61.2808145509889 44.3503750111044 27.1457140356865 12.6109971792528 56.2512589750934 41.1459507498282 24.0942103397873 18.0369020641085 63.0772516827055 44.9580633777773 29.2398730614977 14.202145489258 19.643341124469 3.9046478381426 0 3.05874366483319 18.9120213777202 4.31266452063701 0 3.30686264193642 16.3952356481182 6.99789539103243 0 5.92561612142186 19.8110369389382 3.7957155534631 0 2.91641378449548
"37" "Gynecological diseases" "low" 54.390144523564 46.277984655052 36.3327158437643 14.4741725004818 55.6531100670785 48.8516292418937 33.3380685709985 19.6342409067512 54.225476547029 46.1220952046698 36.4120558064741 14.3397479295815 61.8773291797437 53.7172884064723 34.3101396149429 16.6968729777307 16.2520389402925 9.25295497530739 5.93361249864888 0 14.8335589092931 11.5814424086272 1.34941378969986 0 16.2360207750449 9.18423848559062 6.10458583812395 0 18.1554858921234 12.7468533678926 2.84002616522822 0
"38" "Gynecological diseases" "med" 56.4857563584448 56.075345065365 41.9960418727266 21.5351256421343 57.7487219019594 57.3458652377792 43.003754991835 29.2773848213626 56.3210883819099 55.9121348830812 42.0643456371833 21.5407548734073 63.9729410146245 63.4783227956347 42.6503148131704 24.61096523716 17.2644773473336 16.3403230588349 9.23995496470767 0 16.7714812858349 17.8048456882006 3.6897877252147 2.18209623000282 17.2467051712561 16.2664248383824 9.41092830418274 0 19.8861255075573 19.9461158492394 4.48502160283427 1.22083575747677
"39" "Gynecological diseases" "up" 57.9410838381503 64.2817412950409 46.1774705175184 38.838579227848 59.2040493816649 65.5354676098109 48.3826974764328 43.1750048605504 57.7764158616154 64.117073318506 46.1949645437656 38.9642747124781 65.42826849433 71.759686722476 48.0287824160956 39.6490985447254 18.1903077599778 23.9291078492548 11.0615906499122 11.8594498942966 18.2267103419904 24.5840845948595 5.92026311399278 7.12579395638746 18.1634382626952 23.8467738609873 11.2325639893873 12.0311962483473 21.3388198983229 27.6702381264689 6.35398139625873 5.79783990257365
"40" "Musculoskeletal disorders" "low" 38.1378216347797 45.1293798000553 20.9442251090639 16.2186693173342 33.6222994879799 33.9724341132484 24.1180931165766 19.989123444566 38.0740548292172 45.1197170808778 20.8986001058745 16.2100829063252 43.8525939430856 45.5795943424859 24.2975498403301 18.9507129212416 10.6414093421416 10.4089402087339 0 0 7.79229342223356 8.45631185582297 3.43529727861138 0 10.6125884076162 10.3935205610601 0 0 12.0422526119829 12.1860943272305 4.85007689930881 0
"41" "Musculoskeletal disorders" "med" 38.7467012246617 52.1743233813236 22.3675017929059 24.9964393641042 34.3200562915663 42.3407936889514 25.350776570613 27.0109338256387 38.6798927542318 52.1426279186893 22.3218767897166 25.0333321313638 44.550350746672 53.7643882594656 25.5341766872884 26.3771017877438 11.2084889019331 16.4471185531464 0.212958627105654 1.95685166083349 8.256305959598 13.5709725116775 4.01704018478666 0 11.1796679674076 16.4488573869138 0.103383283365575 2.04827470689976 12.6093321717743 18.6355873125635 5.43181980548409 0.860212044986911
"42" "Musculoskeletal disorders" "up" 39.4393978405252 55.8932320892292 23.7758120789636 34.6914630914817 35.0125358413397 45.4060432439335 26.5912968770295 34.9950513381653 39.3583063034453 55.8615366265948 23.7301870757743 34.8724952069763 45.2428302964454 57.4341597828905 26.7804936310359 33.260759518026 11.765918760661 19.2795331733273 0.774300529339174 5.50892853286694 8.71413365286126 16.5352449281731 4.57838208702018 4.69695487040119 11.7370978261356 19.246922821105 0.664725185599095 5.60480962203185 13.1667620305023 21.650392155726 5.99316170771761 5.74026656713867
"43" "Skin and subcutaneous diseases" "low" 50.3040142072107 38.1519750450236 23.856179266536 10.5694427252838 56.3062036463329 36.3530739139454 37.9459774766356 15.3919612010337 48.6474759098672 38.9364811449299 22.2701370501747 10.7110480577931 67.6494180228299 46.2224190920185 45.2295842271403 12.4145185068024 14.3311781563563 7.20773184936654 1.4901855620819 0 18.5099751961511 4.16104956879976 7.93162060185705 0 13.3044869662728 7.25004619700182 0.351774018712114 0 24.9860674207422 5.69128966669159 11.6429398522762 0
"44" "Skin and subcutaneous diseases" "med" 51.2207540556775 46.0915078992584 25.7205924053321 30.2798341913572 57.2229434947996 43.8201076267698 39.5158316324683 26.0351118546675 49.5642157583339 46.9749391800487 24.1345501889708 31.9697020687502 68.4150471506339 54.5311029678118 46.799438382973 22.8848874969136 15.0967459545936 12.4353285542896 2.32182546973844 0 19.2532447789893 10.6147912415812 8.76331741602983 2.48108589194037 14.0709012281525 12.6737388881893 1.18341392636864 0.191615549504458 25.6188212147099 11.9543363822431 12.474636666449 2.71265755330185
"45" "Skin and subcutaneous diseases" "up" 52.1184844204148 53.8476320191431 27.4862965577492 40.5060813572219 58.1206738595369 56.6302205341055 41.2106424165871 35.660091975373 50.4619461230712 52.8661790836086 25.9002543413878 42.1987558448977 69.1639027053077 67.3330990154603 48.4942491670917 40.028659399258 15.8456628388342 16.6789680084332 3.10898304545417 5.78902065060162 20.0018195587229 17.4142974840218 9.55041808522931 9.01105738268582 14.8189716487507 16.9386363991098 1.97057150208438 5.98666708143951 26.2838959248572 23.9040409631634 13.2617373356485 9.48088573601889
"46" "Sense organ diseases" "low" 55.8398640772291 49.2184551559208 17.7078620619453 7.28270249600654 NA NA NA NA 55.8398640772291 49.2184551559208 17.7078620619453 7.28270249600654 NA NA NA NA 18.0435263671142 8.35261793172913 0 0 NA NA NA NA 18.0435263671142 8.35261793172913 0 0 NA NA NA NA
"47" "Sense organ diseases" "med" 56.8310431116513 55.3010474809946 19.4744962852977 13.4697290622142 NA NA NA NA 56.8310431116513 55.3010474809946 19.4744962852977 13.4697290622142 NA NA NA NA 18.7419937436766 12.5223528728537 0 0 NA NA NA NA 18.7419937436766 12.5223528728537 0 0 NA NA NA NA
"48" "Sense organ diseases" "up" 57.7860032002241 62.3925839329682 21.3958572823094 29.9415318641261 NA NA NA NA 57.7860032002241 62.3925839329682 21.3958572823094 29.9415318641261 NA NA NA NA 19.3929003105297 19.19342546727 0 7.59897125701139 NA NA NA NA 19.3929003105297 19.19342546727 0 7.59897125701139 NA NA NA NA
"49" "Oral disorders" "low" 45.1946699097363 32.2964481337318 19.2155323070302 9.20585261728857 NA NA NA NA 45.1946699097363 32.2964481337318 19.2155323070302 9.20585261728857 NA NA NA NA 9.27303899051245 3.840051085046 0 0 NA NA NA NA 9.27303899051245 3.840051085046 0 0 NA NA NA NA
"50" "Oral disorders" "med" 47.6758375318936 43.1448955062002 24.0396913301637 23.9339898655635 NA NA NA NA 47.6758375318936 43.1448955062002 24.0396913301637 23.9339898655635 NA NA NA NA 11.0412180039107 10.1551912143396 0.563031724100102 0.504203833502221 NA NA NA NA 11.0412180039107 10.1551912143396 0.563031724100102 0.504203833502221 NA NA NA NA
"51" "Oral disorders" "up" 49.6720842289911 56.5553390864505 31.3509191291 42.8454425130753 NA NA NA NA 49.6720842289911 56.5553390864505 31.3509191291 42.8454425130753 NA NA NA NA 12.5236406669039 17.414723686089 2.63698428893951 10.1025464632936 NA NA NA NA 12.5236406669039 17.414723686089 2.63698428893951 10.1025464632936 NA NA NA NA
"52" "Diarrhea, lower respiratory infections, meningitis, and other common infectious diseases" "low" 64.4421409320039 57.3572166355087 44.8211478769632 20.8393906524351 58.2578248717515 51.1975824201886 41.4724802307095 17.4514562040683 47.4273446937183 45.4937173797874 17.0590152431656 8.44933367168594 66.3473516757928 58.3839543407074 46.3826984084238 22.1688315573241 25.4771821030367 13.7506049087894 8.75449900887205 0 21.8025003836444 9.97131870954147 6.49977722318731 0 10.259729141486 5.35951022709441 0.0701133876242173 0 26.4467691935213 14.6369608511145 9.24297059193659 0
